X,Y,Z
78.471484,209.087305,34.921870
77.467378,209.718867,34.939771
76.582866,210.235957,34.956165
75.617520,210.816699,34.973760
74.696108,211.431699,34.990913
73.787593,211.986953,35.008870
72.843818,212.609434,35.026897
71.952866,213.212910,35.043674
71.105317,213.808535,35.059158
70.261196,214.403027,35.074558
69.246689,215.086309,35.093499
68.387476,215.672520,35.109402
67.493091,216.279199,35.125825
66.605571,216.972402,35.140923
65.766611,217.524063,35.156550
64.764038,218.284961,35.173884
63.932705,218.901133,35.188384
63.088169,219.546113,35.202886
62.219570,220.244414,35.217351
61.237197,221.005215,35.234624
60.370488,221.737363,35.249565
59.560732,222.418672,35.263555
58.764873,223.045156,35.277847
57.912056,223.792383,35.292119
57.026074,224.551836,35.307014
56.285420,225.264082,35.318547
55.428286,226.009141,35.332837
54.638066,226.716621,35.345764
53.860918,227.424199,35.358037
53.116094,228.150703,35.368997
52.365801,228.927246,35.379524
51.634370,229.622949,35.390515
50.758267,230.476523,35.403438
50.017227,231.209063,35.414163
49.263213,232.024219,35.424236
48.510825,232.771816,35.435081
47.770449,233.576270,35.444924
47.061631,234.375527,35.453540
46.370415,235.140605,35.461726
45.613149,235.963867,35.470811
44.958691,236.761172,35.477073
44.216675,237.588027,35.485161
43.595449,238.380898,35.490715
42.846079,239.279375,35.498184
42.184844,240.068184,35.504841
41.513691,240.906660,35.513042
40.813628,241.767246,35.521987
40.114111,242.628711,35.530930
39.438110,243.509961,35.539185
38.803726,244.349395,35.546809
38.098752,245.227676,35.555859
37.480112,246.083789,35.563062
36.889246,246.908340,35.569871
36.257991,247.778926,35.577251
35.634355,248.673320,35.583867
35.023337,249.593008,35.589771
34.205718,250.809375,35.597817
33.623845,251.646484,35.602375
33.026982,252.562969,35.606052
32.500100,253.456699,35.608406
31.862642,254.442754,35.613132
31.227205,255.507832,35.617681
30.628013,256.513691,35.621960
30.096663,257.440371,35.625774
29.611299,258.346074,35.628743
28.990803,259.395039,35.633567
28.522847,260.287051,35.635654
28.052017,261.186250,35.637666
27.552798,262.134004,35.639851
27.005193,263.164082,35.642512
26.511860,264.200566,35.643865
25.951287,265.252734,35.646699
25.418052,266.421543,35.648308
24.920327,267.375918,35.651094
24.488298,268.323398,35.652437
24.014185,269.395879,35.653691
23.441970,270.580801,35.656235
22.978457,271.704824,35.656819
22.407678,272.965605,35.658713
21.852095,274.281855,35.659646
21.457170,275.352227,35.659036
21.062847,276.297754,35.659661
20.676980,277.222891,35.660542
20.278735,278.337500,35.660015
19.926328,279.351172,35.658970
19.598906,280.303730,35.657744
19.264915,281.250234,35.656785
18.952849,282.214414,35.655349
18.640469,283.172324,35.653987
18.298230,284.184785,35.652966
17.993206,285.167813,35.651555
17.679203,286.224219,35.649727
17.373541,287.323848,35.646541
17.134952,288.300625,35.642434
16.865096,289.276484,35.639067
16.559991,290.301211,35.636711
16.279097,291.408359,35.633611
16.000574,292.649492,35.629294
15.735078,293.797637,35.625581
15.512649,294.848789,35.621697
15.218241,295.975820,35.618901
14.998389,297.213125,35.612415
14.733867,298.423613,35.607129
14.523085,299.428379,35.602527
14.320415,300.450977,35.596919
14.140269,301.538945,35.590107
13.920840,302.657715,35.583938
13.766450,303.765527,35.576726
13.573341,305.123652,35.567998
13.393265,306.280020,35.560847
13.254377,307.623906,35.550667
13.106556,308.919707,35.541184
12.965236,309.954863,35.534934
12.912629,311.014609,35.526780
12.777214,312.122949,35.520181
12.701245,313.191484,35.512227
12.645592,314.202148,35.504043
12.584850,315.367734,35.494546
12.512805,316.615469,35.483770
12.449222,317.701387,35.474187
12.407723,318.788633,35.464177
12.408950,319.871211,35.453872
12.370513,321.008848,35.444026
12.368364,322.163242,35.432969
12.360876,323.200645,35.423123
12.355266,324.272891,35.412354
12.350107,325.518789,35.399460
12.375933,326.924844,35.384712
12.434601,328.425117,35.368496
12.482778,329.790781,35.354365
12.531104,331.042617,35.341316
12.581499,332.208516,35.328984
12.636213,333.379609,35.316482
12.743541,334.745977,35.300857
12.800413,335.912070,35.288535
12.919680,337.240938,35.273120
13.074698,338.724922,35.255662
13.200403,339.788281,35.242737
13.351509,340.927031,35.228311
13.471575,341.987344,35.215432
13.709574,343.396602,35.196189
13.840779,344.443945,35.183162
14.047825,345.559961,35.167859
14.288828,346.779180,35.150996
14.494252,347.796406,35.137512
14.699263,348.913281,35.123008
14.990154,350.253984,35.103325
15.306882,351.719531,35.082314
15.547483,352.867734,35.066479
15.822677,353.985156,35.049521
16.101163,355.136328,35.030784
16.381445,356.134805,35.013428
16.678669,357.384492,34.993652
16.967339,358.377930,34.976812
17.231102,359.360938,34.960750
17.493477,360.374648,34.944385
17.816936,361.442070,34.924751
18.180381,362.639883,34.902705
18.530527,363.797344,34.881436
18.909299,365.069727,34.857529
19.219492,366.075781,34.837964
19.567056,367.026523,34.817859
19.870103,368.013516,34.798706
20.224636,369.167852,34.776260
20.596521,370.375703,34.752705
20.995603,371.562891,34.728435
21.350752,372.733828,34.705654
21.801592,374.016758,34.676492
22.155020,375.130156,34.651956
22.477141,376.128008,34.629780
22.801282,377.203438,34.606606
23.096841,378.160586,34.583918
23.443962,379.292305,34.556497
23.788840,380.290898,34.531052
24.141257,381.516250,34.502117
24.574126,382.839453,34.469128
24.932930,384.006367,34.437466
25.226387,384.967305,34.411443
25.522288,386.020820,34.383667
25.860645,387.110625,34.353975
26.177456,388.067617,34.327258
26.538015,389.241602,34.293042
26.871758,390.335547,34.260620
27.271868,391.587852,34.223105
27.625461,392.725000,34.189258
27.927473,393.678477,34.160752
28.227227,394.693281,34.130996
28.579846,395.857813,34.096702
28.917344,396.967305,34.063994
29.338940,398.357773,34.023032
29.691775,399.611680,33.986646
30.036851,400.620977,33.957107
30.312888,401.588984,33.930027
30.626272,402.553398,33.902288
30.970583,403.732656,33.869146
31.292612,404.767383,33.834370
31.672104,405.958672,33.794219
31.990603,407.003125,33.759265
32.312451,408.139492,33.720359
32.690127,409.407656,33.674182
33.095034,410.694023,33.627053
33.401804,411.704180,33.590825
33.686047,412.812227,33.552510
34.028779,413.956523,33.512173
34.399507,415.242148,33.464167
34.718054,416.319023,33.424607
35.041116,417.565469,33.382556
35.387544,418.836563,33.336475
35.730352,420.236289,33.284553
36.111079,421.738672,33.227395
36.384377,422.741250,33.189570
36.651472,423.786758,33.151658
37.006377,425.164648,33.101672
37.273691,426.272852,33.058914
37.533660,427.415898,33.014878
37.758359,428.503711,32.972607
38.020300,429.543789,32.931897
38.253135,430.529180,32.893367
38.534214,431.655039,32.852876
38.765581,432.777422,32.812922
38.988428,433.885625,32.773372
39.259751,435.009297,32.733230
39.477515,436.041875,32.693721
39.739287,437.173086,32.648931
39.995830,438.407656,32.599841
40.199111,439.515117,32.555588
40.431768,440.605898,32.512568
40.610464,441.699766,32.469841
40.810063,442.749844,32.428960
41.022935,443.757148,32.390620
41.228130,445.008320,32.342507
41.436899,446.040859,32.303208
41.615625,447.139766,32.260781
41.845488,448.380234,32.213955
42.016865,449.417422,32.175212
42.239805,450.594570,32.132297
42.404707,451.705586,32.092419
42.654360,452.980352,32.049866
42.797808,454.032578,32.009324
42.954829,455.202734,31.965266
43.173618,456.469023,31.921204
43.379243,457.879414,31.872209
43.516338,458.931289,31.835713
43.683721,459.950703,31.800884
43.814937,461.252891,31.756035
43.979414,462.278164,31.721936
44.145264,463.502383,31.680886
44.288008,464.500195,31.647683
44.405342,465.646016,31.608823
44.550449,466.963633,31.563716
44.732510,468.237656,31.520417
44.892329,469.663203,31.473865
45.013501,470.906797,31.432751
45.160078,471.968906,31.398101
45.273042,473.153047,31.357756
45.354707,474.195234,31.321123
45.463760,475.455820,31.279805
45.602139,476.569961,31.245642
45.668223,477.817852,31.205820
45.802725,479.137656,31.163945
45.902285,480.459922,31.119116
46.003311,481.672695,31.077849
46.102798,482.883984,31.035967
46.176763,483.944531,30.999375
46.272183,485.161445,30.961357
46.328311,486.413047,30.922852
46.411450,487.470313,30.891279
46.450205,488.596758,30.854519
46.524629,489.839297,30.813420
46.568853,491.165195,30.768264
46.603179,492.584688,30.720005
46.683066,493.999102,30.673608
46.736353,495.327695,30.629395
46.776851,496.338984,30.598416
46.816870,497.380508,30.566716
46.840913,498.507070,30.532432
46.852793,499.542500,30.501492
46.891733,500.658203,30.468735
46.899771,501.938086,30.429644
46.956958,503.235508,30.385190
46.964614,504.734102,30.332356
46.972397,506.335977,30.280273
46.958516,507.528867,30.245532
46.963608,508.610313,30.213110
46.970229,510.016523,30.171169
46.925752,511.188867,30.136138
46.931304,512.367930,30.100234
46.888267,513.562266,30.061670
46.895049,514.574844,30.032712
46.852964,515.693555,29.999871
46.811313,516.841289,29.969639
46.815464,518.141562,29.935444
46.734551,519.438516,29.895259
46.687646,520.556406,29.861743
46.669819,521.632656,29.831016
46.621748,522.655859,29.801487
46.575928,523.694375,29.772305
46.527891,524.766797,29.742981
46.474419,525.979570,29.711592
46.423149,527.147734,29.681709
46.347773,528.169961,29.655591
46.302095,529.207969,29.630037
46.255640,530.210898,29.605012
46.149370,531.414688,29.573545
46.100894,532.451328,29.547891
46.003379,533.465859,29.522930
45.904058,534.518828,29.497063
45.846196,535.755352,29.468582
45.688340,536.989219,29.438262
45.572881,538.386797,29.405525
45.468979,539.537422,29.377932
45.368643,540.611836,29.351904
45.210562,541.850625,29.320867
45.110083,542.928008,29.295413
44.981274,544.102383,29.268381
44.876797,545.122266,29.245098
44.784390,546.153906,29.221885
44.621445,547.325938,29.194895
44.515894,548.423477,29.171733
44.380820,549.500313,29.148201
44.283535,550.565156,29.125857
44.136157,551.577500,29.103381
43.996011,552.862344,29.077764
43.851270,553.927383,29.055781
43.739409,554.989883,29.034700
43.627134,556.062969,29.013416
43.460186,557.215000,28.989392
43.350537,558.242773,28.968997
43.216714,559.244727,28.948406
43.076060,560.400352,28.925000
42.953350,561.398633,28.904717
42.817607,562.447969,28.883201
42.691333,563.689492,28.858381
42.568276,564.750742,28.836628
