X,Y,Z
127.303672,204.765293,33.642903
125.962852,205.232344,33.674495
124.708760,205.592344,33.704270
123.670244,205.937168,33.728752
122.714492,206.249980,33.748950
121.670762,206.555527,33.770671
120.556016,206.924941,33.793538
119.332490,207.319492,33.818730
118.020557,207.735098,33.848923
117.060488,208.019961,33.871367
116.054570,208.367734,33.894490
115.038301,208.696250,33.918042
113.643691,209.127109,33.950679
112.421855,209.510996,33.979233
111.385303,209.844512,34.003369
110.342549,210.229844,34.027122
109.229375,210.580703,34.053052
107.998604,210.962031,34.082166
106.695547,211.413770,34.112522
105.288252,211.892910,34.145244
104.052002,212.296660,34.174294
102.685762,212.787891,34.206084
101.301084,213.324180,34.237615
100.333066,213.680898,34.258423
98.995781,214.194805,34.285474
98.018271,214.619297,34.305005
96.997715,215.057637,34.326567
95.916582,215.541562,34.350381
94.580010,216.146172,34.379521
93.640283,216.595352,34.399148
92.705898,217.047559,34.418879
91.744355,217.554492,34.439324
90.791895,218.027363,34.460728
89.550068,218.655625,34.487351
88.420947,219.281152,34.510349
87.075674,220.012148,34.541526
86.195752,220.494512,34.563340
85.299658,221.009355,34.583308
84.364170,221.551133,34.603022
83.388320,222.119492,34.622170
82.402881,222.753711,34.642485
81.355449,223.368047,34.664021
80.379639,223.998711,34.684768
79.466182,224.592793,34.703918
78.296260,225.395332,34.727947
77.245776,226.069824,34.750093
76.227329,226.819277,34.771741
75.309590,227.480605,34.788743
74.261255,228.192676,34.808667
73.205605,229.002793,34.831130
72.050928,229.866113,34.854060
71.039536,230.667910,34.872898
70.061631,231.430820,34.890740
69.225571,232.099961,34.906257
68.229893,232.935625,34.924514
67.329048,233.655254,34.940723
66.393594,234.456094,34.957500
65.410693,235.385566,34.975186
64.300034,236.349355,34.994414
63.237026,237.346113,35.012612
62.306895,238.209414,35.028320
61.524937,238.979395,35.041326
60.678857,239.770039,35.055364
59.818911,240.631074,35.069080
59.128330,241.392090,35.079468
58.331245,242.188262,35.091992
57.497583,243.118437,35.103677
56.590747,244.075762,35.115762
55.859082,244.944648,35.124839
55.085645,245.855078,35.134285
54.334629,246.742871,35.144409
53.537080,247.669512,35.156150
52.841626,248.476699,35.166001
52.081665,249.453789,35.176125
51.448223,250.276152,35.184434
50.706309,251.202656,35.194558
50.049902,252.006738,35.203870
49.387876,252.940156,35.213384
48.658394,253.865566,35.224094
47.982246,254.860586,35.234004
47.328838,255.750703,35.242664
46.728862,256.578242,35.250015
45.630620,258.214629,35.262729
45.055439,259.088652,35.268494
44.534531,259.950488,35.273667
43.951006,260.812520,35.280374
43.424624,261.728457,35.286965
42.881011,262.598633,35.293064
42.261450,263.665645,35.298745
41.733125,264.552539,35.302354
41.212407,265.430957,35.306436
40.666816,266.428516,35.310867
40.108931,267.443086,35.315259
39.588726,268.366016,35.318711
39.168447,269.279961,35.320098
38.609180,270.376641,35.322583
38.148154,271.281543,35.324780
37.627012,272.284473,35.326577
37.075498,273.430293,35.327712
36.653621,274.373281,35.327991
36.221736,275.292695,35.328391
35.802629,276.328125,35.328445
35.316951,277.390859,35.328730
34.852793,278.467520,35.330369
34.391313,279.653066,35.333345
33.957666,280.688438,35.334946
33.509421,281.819512,35.334583
33.142139,282.829551,35.333604
32.741685,283.937578,35.332549
32.322104,285.150840,35.330979
31.997092,286.101367,35.329543
31.675920,287.058555,35.328008
31.374482,288.026738,35.326526
31.053530,289.154727,35.324780
30.709749,290.283359,35.322583
30.442393,291.296621,35.319968
30.150708,292.316484,35.317683
29.897273,293.391484,35.315574
29.595701,294.482930,35.313999
29.385381,295.464648,35.309924
29.126563,296.519922,35.304546
28.869866,297.650352,35.297009
28.642139,298.671055,35.291333
28.341230,299.898945,35.285012
28.071272,301.339785,35.277173
27.882021,302.409395,35.270679
27.652007,303.447500,35.264385
27.445215,304.598320,35.257095
27.263638,305.744355,35.250049
27.086714,306.870410,35.243640
26.972991,307.872129,35.237212
26.765833,309.220977,35.228354
26.575195,310.695117,35.217178
26.447234,312.137168,35.204880
26.302280,313.560352,35.193242
26.205298,314.931758,35.183518
26.115764,316.335820,35.173667
26.063230,317.350820,35.163711
26.048975,318.470547,35.149670
25.961370,319.837773,35.134961
25.969805,321.028965,35.123608
25.960117,322.291934,35.108770
25.938042,323.364844,35.093328
25.954377,324.464160,35.079827
25.939297,325.465703,35.068276
25.989014,326.668750,35.055520
26.024412,327.716445,35.045750
26.054658,329.006992,35.032378
26.151379,330.392969,35.016841
26.196138,331.406406,35.005344
26.262900,332.710469,34.990261
26.364392,334.014805,34.973782
26.489468,335.060938,34.958870
26.615708,336.189492,34.943523
26.759233,337.478750,34.926580
26.928655,338.780039,34.910171
27.091462,340.152734,34.893506
27.290293,341.617891,34.871047
27.472878,342.618008,34.855454
27.652310,343.666016,34.839771
27.829055,344.750234,34.822566
28.033145,345.797734,34.803928
28.307820,347.099805,34.780349
28.555071,348.295508,34.760505
28.765361,349.352695,34.743735
28.993306,350.422695,34.727104
29.261177,351.557773,34.708596
29.520234,352.596172,34.687751
29.801936,353.578594,34.667170
30.068025,354.570820,34.647456
30.385652,355.846758,34.624175
30.722983,356.962539,34.603538
31.022966,358.060156,34.584153
31.339771,359.072656,34.564312
31.644761,360.127930,34.544141
31.977273,361.291602,34.522012
32.296348,362.336055,34.501548
32.710549,363.616289,34.475776
32.979075,364.585273,34.457593
33.434705,365.998086,34.429194
33.822717,367.321758,34.403176
34.168298,368.400586,34.381111
34.517400,369.530859,34.358376
34.890493,370.705820,34.334534
35.280015,371.990742,34.308967
35.711443,373.353125,34.281448
36.107791,374.623867,34.256003
36.456948,375.811445,34.233569
36.811377,376.954727,34.211465
37.215483,378.171172,34.187207
37.525542,379.298398,34.166465
37.857871,380.244258,34.147344
38.184033,381.422813,34.125923
38.512002,382.428984,34.106431
38.811113,383.414922,34.087842
39.169312,384.531563,34.066333
39.526934,385.683828,34.043870
39.867422,386.770430,34.021313
40.262979,388.028125,33.995186
40.595449,389.083477,33.973252
40.957520,390.268086,33.948953
41.336274,391.480781,33.923335
41.699248,392.717344,33.896785
42.058916,393.920820,33.870793
42.388574,394.938359,33.848376
42.702651,396.058398,33.824519
43.031606,397.023242,33.802678
43.338682,398.035664,33.780320
43.631279,399.022578,33.758625
44.083545,400.410586,33.727490
44.357041,401.398789,33.704231
44.683623,402.414609,33.678838
45.010327,403.444648,33.653130
45.434990,404.841602,33.618474
45.760708,406.061758,33.588042
46.106958,407.173008,33.559727
