s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
1782.878252,-169.697103,444.860293,27.875846,4.383627,0.000168,-0.024798,0.001651,0.000041,-0.000013,-6.846725,6.846725,-0.000013,-0.000000,0.001651
1784.876995,-170.333348,442.965520,27.875267,4.387089,0.000254,-0.024825,0.000278,0.000007,-0.000014,-6.844715,6.844715,-0.000014,0.000000,0.000278
1786.875738,-170.974652,441.072453,27.874829,4.384737,0.000196,-0.024854,-0.000779,-0.000019,-0.000014,-6.840498,6.840498,-0.000014,0.000000,-0.000779
1788.874480,-171.619817,439.180699,27.874482,4.383977,0.000177,-0.024881,0.000037,-0.000011,-0.000013,-6.847760,6.847760,-0.000013,-0.000012,0.000037
1790.873223,-172.264014,437.288614,27.874120,4.384884,0.000153,-0.024906,0.000387,-0.000012,-0.000006,-6.844424,6.844424,-0.000006,-0.000021,0.000387
1792.871966,-172.905739,435.395690,27.873870,4.385525,0.000131,-0.024905,0.001178,-0.000010,-0.000001,-6.860562,6.860562,-0.000001,-0.000040,0.001177
1794.870708,-173.547502,433.502779,27.873597,4.389593,0.000112,-0.024909,0.000381,-0.000040,0.000015,-6.857525,6.857525,0.000015,-0.000050,0.000380
1796.869451,-174.173796,431.604694,27.873421,4.387050,-0.000029,-0.024846,-0.002854,-0.000094,0.000025,-6.848321,6.848321,0.000025,-0.000023,-0.002855
1798.868194,-174.825148,429.715061,27.873714,4.378185,-0.000264,-0.024809,-0.000439,-0.000065,0.000013,-6.837851,6.837851,0.000013,-0.000054,-0.000440
1800.866937,-175.485085,427.828409,27.874476,4.385297,-0.000287,-0.024794,0.003259,0.000022,0.000019,-6.843475,6.843475,0.000020,-0.000059,0.003259
1802.865680,-176.109457,425.929690,27.874863,4.391213,-0.000175,-0.024732,-0.000014,0.000020,0.000018,-6.855913,6.855913,0.000018,0.000020,-0.000013
1804.864422,-176.746982,424.035347,27.875176,4.385242,-0.000209,-0.024722,-0.001692,-0.000018,0.000003,-6.841534,6.841534,0.000003,0.000024,-0.001692
1806.863165,-177.394024,422.144234,27.875700,4.384450,-0.000247,-0.024721,-0.000068,-0.000030,0.000005,-6.832751,6.832751,0.000005,-0.000028,-0.000068
1808.861908,-178.034545,420.250902,27.876163,4.384972,-0.000330,-0.024701,-0.000147,-0.000021,0.000018,-6.828999,6.828999,0.000018,-0.000017,-0.000147
1810.860651,-178.679619,418.359118,27.877018,4.383863,-0.000330,-0.024647,-0.000833,0.000010,0.000014,-6.856288,6.856288,0.000014,0.000030,-0.000832
1812.859393,-179.324329,416.467208,27.877483,4.381643,-0.000291,-0.024645,0.000875,0.000039,0.000000,-6.845040,6.845040,0.000001,0.000018,0.000875
1814.858136,-179.977795,414.578305,27.878180,4.387359,-0.000173,-0.024645,0.002100,0.000078,0.000004,-6.843348,6.843348,0.000005,0.000026,0.002101
1816.856879,-180.600803,412.679139,27.878173,4.390036,0.000021,-0.024628,-0.000442,0.000088,0.000014,-6.849247,6.849247,0.000014,0.000099,-0.000440
1818.855622,-181.244169,410.786772,27.878094,4.385593,0.000179,-0.024589,-0.002152,0.000043,0.000026,-6.846592,6.846592,0.000026,0.000096,-0.002151
1820.854364,-181.884048,408.893223,27.877459,4.381431,0.000195,-0.024525,-0.001034,0.000006,0.000032,-6.841744,6.841744,0.000032,0.000032,-0.001033
1822.853107,-182.543151,407.006279,27.877316,4.381459,0.000204,-0.024462,0.002183,0.000057,0.000033,-6.852551,6.852551,0.000033,0.000004,0.002184
1824.851850,-183.182934,405.112698,27.876644,4.390159,0.000424,-0.024393,0.002089,0.000050,0.000034,-6.847942,6.847942,0.000033,-0.000001,0.002090
1826.850593,-183.809032,403.214548,27.875621,4.389812,0.000405,-0.024328,-0.002686,-0.000070,0.000032,-6.846080,6.846080,0.000033,-0.000004,-0.002687
1828.849336,-184.450145,401.321416,27.875022,4.379422,0.000145,-0.024266,-0.001848,-0.000044,0.000032,-6.851004,6.851004,0.000032,0.000001,-0.001849
1830.848078,-185.115609,399.436707,27.875044,4.382423,0.000230,-0.024201,0.003004,0.000078,0.000033,-6.850857,6.850857,0.000033,0.000005,0.003005
1832.846821,-185.745352,397.539763,27.874103,4.391433,0.000457,-0.024132,0.000539,0.000024,0.000033,-6.846819,6.846819,0.000032,0.000011,0.000539
1834.845564,-186.376684,395.643348,27.873217,4.384578,0.000324,-0.024071,-0.001854,-0.000008,0.000025,-6.846133,6.846133,0.000026,0.000037,-0.001854
1836.844306,-187.032387,393.755220,27.872806,4.384020,0.000425,-0.024032,0.000659,0.000064,0.000008,-6.842944,6.842944,0.000008,0.000048,0.000661
1838.843049,-187.665847,391.859515,27.871518,4.387214,0.000581,-0.024039,0.001469,0.000055,-0.000005,-6.834252,6.834252,-0.000006,0.000020,0.001470
1840.841792,-188.309481,389.967239,27.870482,4.389892,0.000647,-0.024051,0.000682,0.000016,-0.000007,-6.841053,6.841053,-0.000008,0.000000,0.000682
1842.840535,-188.932762,388.068163,27.868933,4.389939,0.000647,-0.024069,-0.001676,-0.000042,-0.000009,-6.837478,6.837478,-0.000007,-0.000002,-0.001676
1844.839277,-189.576198,386.175820,27.867893,4.383193,0.000477,-0.024085,-0.001672,-0.000041,-0.000007,-6.841680,6.841680,-0.000006,-0.000000,-0.001673
1846.838020,-190.225119,384.285351,27.867025,4.383254,0.000485,-0.024096,-0.000041,0.000000,-0.000007,-6.831681,6.831681,-0.000007,0.000001,-0.000041
1848.836763,-190.868276,382.392913,27.865954,4.383030,0.000478,-0.024111,0.001386,0.000042,-0.000006,-6.851801,6.851801,-0.000006,0.000009,0.001387
1850.835506,-191.518045,380.502735,27.865116,4.388795,0.000654,-0.024118,0.001249,0.000061,-0.000013,-6.840183,6.840183,-0.000014,0.000031,0.001251
1852.834248,-192.139345,378.603010,27.863339,4.388024,0.000722,-0.024162,-0.001021,-0.000002,-0.000034,-6.834238,6.834238,-0.000034,0.000023,-0.001020
1854.832991,-192.792040,376.713841,27.862230,4.384715,0.000646,-0.024256,-0.000732,-0.000027,-0.000054,-6.817406,6.817406,-0.000054,-0.000009,-0.000733
1856.831734,-193.425887,374.818265,27.860757,4.385097,0.000615,-0.024378,0.000331,-0.000003,-0.000061,-6.822522,6.822522,-0.000061,-0.000011,0.000331
1858.830477,-194.077153,372.928602,27.859773,4.386039,0.000633,-0.024498,0.000959,0.000013,-0.000060,-6.818977,6.818977,-0.000061,-0.000010,0.000959
1860.829220,-194.707437,371.031838,27.858226,4.388932,0.000669,-0.024620,-0.001034,-0.000227,-0.000059,-6.817847,6.817847,-0.000058,-0.000201,-0.001039
1862.827963,-195.347685,369.138414,27.857097,4.381908,-0.000274,-0.024733,-0.000762,-0.000462,-0.000052,-6.834199,6.834199,-0.000052,-0.000443,-0.000773
1864.826705,-196.004625,367.250718,27.859322,4.385888,-0.001179,-0.024827,0.001337,-0.000272,-0.000045,-6.830907,6.830907,-0.000043,-0.000305,0.001330
1866.825448,-196.629754,365.352250,27.861812,4.387253,-0.001360,-0.024911,-0.001245,-0.000073,-0.000047,-6.821283,6.821283,-0.000049,-0.000042,-0.001246
