s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
362.605173,250.236605,-3.338987,34.080566,1.805516,0.040319,0.000000,0.000160,-0.000944,0.000000,-6.923459,6.941600,0.000000,-0.000944,0.000160
365.599723,249.539455,-0.426687,34.195138,1.805898,0.037956,0.000000,0.000095,-0.000566,0.000000,-6.914589,6.926784,0.000000,-0.000566,0.000095
368.594316,248.841490,2.485357,34.307996,1.806085,0.036929,0.000000,0.000030,-0.000350,0.000000,-6.909520,6.915563,0.000000,-0.000350,0.000030
371.589156,248.143234,5.397480,34.416419,1.806076,0.035862,0.000000,-0.000035,-0.000436,0.000000,-6.907148,6.906080,0.000000,-0.000436,-0.000035
374.584442,247.445207,8.310016,34.522906,1.805875,0.034318,0.000000,-0.000089,-0.000656,0.000000,-6.906202,6.899047,0.000000,-0.000656,-0.000089
377.580303,246.747915,11.223288,34.622104,1.805543,0.031929,0.000000,-0.000115,-0.000644,0.000000,-6.906152,6.893564,0.000000,-0.000644,-0.000115
380.576744,246.051550,14.137404,34.714299,1.805188,0.030458,0.000000,-0.000115,-0.000354,0.000000,-6.905735,6.889906,0.000000,-0.000354,-0.000115
383.573716,245.356059,17.052300,34.804705,1.804857,0.029810,0.000000,-0.000106,-0.000329,0.000000,-6.905598,6.886020,0.000000,-0.000329,-0.000106
386.571166,244.661381,19.967909,34.893043,1.804550,0.028487,0.000000,-0.000098,-0.000500,0.000000,-6.905480,6.880690,0.000000,-0.000500,-0.000098
389.569044,243.967454,22.884162,34.975542,1.804269,0.026810,0.000000,-0.000090,-0.000615,0.000000,-6.905056,6.875424,0.000000,-0.000615,-0.000089
392.567296,243.274217,25.800991,35.053836,1.804014,0.024797,0.000000,-0.000081,-0.000765,0.000000,-6.904763,6.871237,0.000000,-0.000765,-0.000081
395.565870,242.581609,28.718328,35.124276,1.803783,0.022221,0.000000,-0.000073,-0.000887,0.000000,-6.906978,6.866516,0.000000,-0.000887,-0.000073
