s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
5841.447735,129.369063,-110.790943,-4.070401,7.861493,0.049433,0.008606,-0.000138,-0.000138,-0.000096,-2.386220,5.621177,-0.000089,-0.000139,-0.000137
5843.447546,129.354328,-108.793615,-4.168932,7.861227,0.049143,0.008416,-0.000128,-0.000152,-0.000094,-2.390368,5.620135,-0.000087,-0.000153,-0.000126
5845.447357,129.340104,-106.796254,-4.266856,7.860983,0.048825,0.008231,-0.000117,-0.000166,-0.000092,-2.393935,5.619714,-0.000086,-0.000167,-0.000115
5847.447168,129.326346,-104.798857,-4.364117,7.860759,0.048479,0.008048,-0.000107,-0.000179,-0.000091,-2.397076,5.619689,-0.000086,-0.000180,-0.000105
5849.446979,129.313015,-102.801422,-4.460662,7.860555,0.048107,0.007867,-0.000097,-0.000193,-0.000091,-2.400000,5.619997,-0.000086,-0.000194,-0.000096
5851.446790,129.300074,-100.803948,-4.556434,7.860368,0.047706,0.007685,-0.000090,-0.000208,-0.000091,-2.402619,5.620598,-0.000087,-0.000208,-0.000088
5853.446601,129.287492,-98.806432,-4.651377,7.860195,0.047275,0.007501,-0.000083,-0.000223,-0.000093,-2.405052,5.621215,-0.000089,-0.000224,-0.000082
5855.446412,129.275245,-96.808871,-4.745425,7.860032,0.046811,0.007313,-0.000080,-0.000241,-0.000095,-2.407000,5.622614,-0.000091,-0.000242,-0.000078
5857.446223,129.263317,-94.811263,-4.838510,7.859874,0.046310,0.007122,-0.000079,-0.000260,-0.000097,-2.408597,5.629920,-0.000093,-0.000261,-0.000077
5859.446034,129.251706,-92.813605,-4.930553,7.859714,0.045768,0.006925,-0.000081,-0.000281,-0.000099,-2.413554,5.631985,-0.000096,-0.000282,-0.000079
5861.445845,129.240420,-90.815894,-5.021471,7.859546,0.045183,0.006724,-0.000087,-0.000304,-0.000102,-2.412891,5.628007,-0.000098,-0.000304,-0.000085
5863.445656,129.229486,-88.818126,-5.111175,7.859360,0.044552,0.006518,-0.000098,-0.000327,-0.000104,-2.411971,5.629505,-0.000100,-0.000327,-0.000096
5865.445467,129.218947,-86.820298,-5.199573,7.859149,0.043876,0.006308,-0.000114,-0.000350,-0.000106,-2.413787,5.631798,-0.000101,-0.000351,-0.000111
5867.445278,129.208865,-84.822406,-5.286574,7.858900,0.043154,0.006094,-0.000135,-0.000372,-0.000108,-2.414000,5.634348,-0.000102,-0.000373,-0.000132
5869.445089,129.199325,-82.824447,-5.372091,7.858604,0.042390,0.005877,-0.000162,-0.000392,-0.000109,-2.413944,5.637589,-0.000102,-0.000393,-0.000159
5871.444899,129.190435,-80.826419,-5.456044,7.858247,0.041589,0.005658,-0.000195,-0.000409,-0.000110,-2.413200,5.641393,-0.000102,-0.000410,-0.000193
5873.444710,129.182330,-78.828319,-5.538365,7.857817,0.040758,0.005437,-0.000235,-0.000422,-0.000111,-2.411812,5.645958,-0.000101,-0.000424,-0.000232
5875.444521,129.175167,-76.830148,-5.619000,7.857300,0.039904,0.005215,-0.000282,-0.000431,-0.000111,-2.410077,5.650731,-0.000100,-0.000433,-0.000279
5877.444332,129.169133,-74.831904,-5.697916,7.856684,0.039038,0.004992,-0.000335,-0.000435,-0.000112,-2.407448,5.656415,-0.000099,-0.000437,-0.000333
5879.444143,129.164443,-72.833588,-5.775095,7.855953,0.038169,0.004767,-0.000395,-0.000434,-0.000113,-2.403414,5.663507,-0.000097,-0.000436,-0.000393
5881.443954,129.161338,-70.835204,-5.850546,7.855096,0.037309,0.004542,-0.000462,-0.000427,-0.000113,-2.398057,5.671960,-0.000096,-0.000429,-0.000460
5883.443765,129.160084,-68.836753,-5.924295,7.854098,0.036468,0.004314,-0.000535,-0.000414,-0.000115,-2.390822,5.682252,-0.000095,-0.000417,-0.000533
5885.443576,129.160974,-66.838243,-5.996391,7.852949,0.035657,0.004083,-0.000614,-0.000397,-0.000116,-2.381425,5.694712,-0.000094,-0.000399,-0.000612
5887.443387,129.164321,-64.839678,-6.066905,7.851637,0.034885,0.003849,-0.000697,-0.000375,-0.000118,-2.369770,5.709525,-0.000093,-0.000378,-0.000696
5889.443198,129.170458,-62.841069,-6.135921,7.850156,0.034161,0.003613,-0.000784,-0.000349,-0.000119,-2.355663,5.726712,-0.000093,-0.000352,-0.000783
5891.443009,129.179732,-60.842423,-6.203544,7.848498,0.033490,0.003372,-0.000874,-0.000321,-0.000121,-2.338780,5.746826,-0.000092,-0.000324,-0.000872
5893.442820,129.192499,-58.843754,-6.269885,7.846661,0.032880,0.003128,-0.000963,-0.000290,-0.000123,-2.318317,5.770524,-0.000091,-0.000293,-0.000962
5895.442631,129.209116,-56.845075,-6.335068,7.844645,0.032332,0.002881,-0.001052,-0.000258,-0.000124,-2.294070,5.798060,-0.000090,-0.000261,-0.001051
5897.442442,129.229935,-54.846402,-6.399219,7.842457,0.031847,0.002630,-0.001137,-0.000226,-0.000126,-2.265795,5.829686,-0.000090,-0.000229,-0.001136
5899.442253,129.255295,-52.847753,-6.462464,7.840105,0.031425,0.002376,-0.001215,-0.000195,-0.000128,-2.233160,5.865733,-0.000090,-0.000198,-0.001214
5901.442063,129.285506,-50.849146,-6.524927,7.837605,0.031063,0.002119,-0.001285,-0.000166,-0.000129,-2.195795,5.906448,-0.000090,-0.000169,-0.001284
5903.441874,129.320845,-48.850604,-6.586723,7.834978,0.030757,0.001859,-0.001342,-0.000140,-0.000131,-2.153362,5.952226,-0.000090,-0.000143,-0.001341
5905.441685,129.361538,-46.852145,-6.647956,7.832253,0.030500,0.001596,-0.001383,-0.000117,-0.000132,-2.105522,6.003368,-0.000090,-0.000119,-0.001382
5907.441496,129.407745,-44.853792,-6.708718,7.829465,0.030284,0.001332,-0.001405,-0.000098,-0.000132,-2.052075,6.059954,-0.000090,-0.000100,-0.001404
5909.441307,129.459552,-42.855565,-6.769086,7.826658,0.030103,0.001067,-0.001403,-0.000083,-0.000132,-1.993027,6.122001,-0.000090,-0.000084,-0.001402
5911.441118,129.516946,-40.857480,-6.829120,7.823882,0.029949,0.000804,-0.001373,-0.000072,-0.000131,-1.928351,6.189447,-0.000090,-0.000073,-0.001372
5913.440929,129.579803,-38.859551,-6.888863,7.821200,0.029812,0.000544,-0.001310,-0.000065,-0.000129,-1.858081,6.262206,-0.000090,-0.000066,-0.001310
5915.440740,129.647871,-36.861784,-6.948344,7.818679,0.029685,0.000290,-0.001211,-0.000062,-0.000125,-1.782419,6.339959,-0.000089,-0.000062,-0.001210
5917.440551,129.720747,-34.864180,-7.007576,7.816400,0.029562,0.000045,-0.001069,-0.000062,-0.000120,-1.701656,6.422350,-0.000088,-0.000062,-0.001069
5919.440362,129.797863,-32.866728,-7.066560,7.814449,0.029436,-0.000188,-0.000881,-0.000064,-0.000113,-1.616330,6.508773,-0.000087,-0.000064,-0.000881
5921.440173,129.878467,-30.869405,-7.125287,7.812925,0.029303,-0.000405,-0.000643,-0.000069,-0.000104,-1.527274,6.598437,-0.000085,-0.000069,-0.000643
5923.439984,129.961603,-28.872178,-7.183736,7.811933,0.029158,-0.000603,-0.000349,-0.000075,-0.000094,-1.435449,6.690349,-0.000084,-0.000075,-0.000349
5925.439795,130.046093,-26.874999,-7.241883,7.811588,0.029000,-0.000778,0.000004,-0.000083,-0.000082,-1.341961,6.783269,-0.000082,-0.000083,0.000004
5927.439606,130.130527,-24.877808,-7.299697,7.812012,0.028825,-0.000929,0.000420,-0.000091,-0.000069,-1.248316,6.875927,-0.000081,-0.000092,0.000420
5929.439417,130.213239,-22.880535,-7.357145,7.813334,0.028633,-0.001052,0.000902,-0.000100,-0.000054,-1.156112,6.966787,-0.000080,-0.000101,0.000902
5931.439227,130.292303,-20.883102,-7.414192,7.815688,0.028424,-0.001145,0.001453,-0.000109,-0.000039,-1.067457,7.053907,-0.000080,-0.000111,0.001452
5933.439038,130.365518,-18.885435,-7.470805,7.819214,0.028198,-0.001205,0.002074,-0.000117,-0.000022,-0.984636,7.135029,-0.000081,-0.000120,0.002073
5935.438849,130.430402,-16.887468,-7.526948,7.824053,0.027955,-0.001232,0.002766,-0.000126,-0.000004,-0.910524,7.207877,-0.000082,-0.000129,0.002764
5937.438660,130.484187,-14.889158,-7.582589,7.830346,0.027696,-0.001222,0.003528,-0.000133,0.000014,-0.847828,7.269503,-0.000083,-0.000138,0.003527
5939.438471,130.523825,-12.890505,-7.637698,7.838235,0.027423,-0.001174,0.004361,-0.000140,0.000034,-0.799932,7.317295,-0.000085,-0.000145,0.004359
5941.438282,130.545988,-10.891568,-7.692247,7.847854,0.027136,-0.001083,0.005260,-0.000147,0.000056,-0.770117,7.347949,-0.000087,-0.000153,0.005258
5943.438093,130.547082,-8.892497,-7.746208,7.859335,0.026836,-0.000947,0.006222,-0.000153,0.000080,-0.762044,7.358119,-0.000087,-0.000159,0.006220
5945.437904,130.523264,-6.893555,-7.799559,7.872798,0.026524,-0.000760,0.007242,-0.000159,0.000107,-0.779868,7.344314,-0.000085,-0.000164,0.007239
5947.437715,130.470466,-4.895156,-7.852275,7.888350,0.026201,-0.000518,0.008312,-0.000164,0.000136,-0.828011,7.302654,-0.000082,-0.000169,0.008309
5949.437526,130.384429,-2.897901,-7.904334,7.906086,0.025866,-0.000216,0.009425,-0.000171,0.000167,-0.910560,7.228979,-0.000077,-0.000173,0.009422
