right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
102.673825,212.793644,34.206336,97.895461,200.249891,34.489588
100.889360,213.475628,34.246446,95.940019,200.979594,34.536193
99.107680,214.151920,34.283210,93.990805,201.741187,34.583245
97.364531,214.900023,34.318832,92.043016,202.530871,34.630506
95.636326,215.668856,34.356467,90.096314,203.338547,34.676667
93.921917,216.461125,34.393281,88.168948,204.198636,34.719871
92.230679,217.298040,34.428986,86.258625,205.100399,34.760890
90.547579,218.151300,34.465929,84.364256,206.034248,34.800178
88.876420,219.028291,34.501213,82.472781,206.974778,34.840133
87.219956,219.934086,34.538296,80.597635,207.947463,34.878494
85.570579,220.853700,34.577271,78.741106,208.954928,34.915901
83.936089,221.800582,34.611368,76.926430,210.035108,34.949797
82.326833,222.790987,34.644042,75.130190,211.144172,34.982845
80.716662,223.780894,34.677602,73.350151,212.277524,35.017197
79.137592,224.820329,34.710642,71.602583,213.459576,35.050062
77.565037,225.870619,34.743373,69.872328,214.665018,35.081817
76.022999,226.965743,34.775387,68.128169,215.849259,35.114152
74.476356,228.055063,34.804798,66.422662,217.088089,35.144390
72.959720,229.186635,34.836013,64.712253,218.320514,35.174812
71.456871,230.336939,34.865121,63.034228,219.596297,35.203696
69.968402,231.506434,34.892486,61.379475,220.902096,35.232088
68.503484,232.706003,34.919498,59.759621,222.250614,35.260128
67.039293,233.907535,34.945915,58.136787,223.595476,35.288358
65.630935,235.174156,34.971195,56.563711,224.998009,35.314196
64.218302,236.436065,34.995785,54.991047,226.400822,35.339981
62.829503,237.724356,35.019495,53.444722,227.832584,35.364133
61.460726,239.034134,35.042387,51.952983,229.321194,35.385712
60.100974,240.353958,35.064533,50.442085,230.789974,35.408003
58.794928,241.726830,35.084681,48.978029,232.305352,35.428373
57.502735,243.112212,35.103599,47.536829,233.842331,35.447691
56.226351,244.511960,35.120258,46.124866,235.406210,35.464682
55.000579,245.956110,35.135552,44.742285,236.995871,35.479514
53.771949,247.396627,35.152692,43.396514,238.616634,35.492735
52.555761,248.847498,35.169787,42.050151,240.236443,35.506487
51.391933,250.340384,35.185267,40.726258,241.874843,35.523104
50.213605,251.821271,35.201563,39.423828,243.530684,35.539338
49.078317,253.335149,35.217929,38.135566,245.198454,35.555243
47.971280,254.869157,35.234068,36.892944,246.900851,35.569852
46.859273,256.399542,35.248410,35.675978,248.621957,35.583314
45.798043,257.965168,35.260791,34.499891,250.371736,35.594922
44.775480,259.555587,35.271272,33.318273,252.118323,35.604212
43.763760,261.152139,35.282772,32.205160,253.909715,35.610656
42.787544,262.770021,35.293745,31.106615,255.710283,35.618542
41.826705,264.396129,35.301798,30.046470,257.534033,35.626081
40.883443,266.032125,35.309099,29.012975,259.373079,35.633156
39.972207,267.685657,35.316166,28.024640,261.237305,35.637794
39.120730,269.370043,35.320328,27.046441,263.106763,35.642117
38.265260,271.051255,35.324207,26.096862,264.991209,35.645887
37.412016,272.733489,35.326998,25.171998,266.888625,35.649730
36.617758,274.443543,35.328039,24.277771,268.801260,35.652983
35.861912,276.170457,35.328455,23.391295,270.718277,35.656168
35.100054,277.894688,35.329512,22.548132,272.655361,35.658247
34.389318,279.641095,35.333098,21.732769,274.604036,35.659474
33.681741,281.389714,35.334681,20.951686,276.566537,35.659894
33.023242,283.158529,35.333290,20.207972,278.542867,35.659766
32.395546,284.939372,35.331235,19.515744,280.536852,35.657535
31.787221,286.727695,35.328539,18.847041,282.538218,35.654894
31.231066,288.533870,35.325741,18.189638,284.542932,35.652413
30.698486,290.347655,35.322328,17.586600,286.563869,35.648633
30.197592,292.170845,35.318038,17.049129,288.602723,35.641445
29.728284,294.003088,35.314691,16.476800,290.631545,35.635779
29.291047,295.843638,35.307951,15.992667,292.682351,35.629199
28.862601,297.686557,35.297034,15.529844,294.737341,35.622265
28.436654,299.531332,35.286877,15.069831,296.792623,35.614689
28.063685,301.388053,35.276822,14.643445,298.854844,35.605150
27.698094,303.247088,35.265589,14.242888,300.922336,35.593955
27.364103,305.113008,35.253934,13.879501,302.996580,35.581629
27.078217,306.987306,35.242810,13.577271,305.080139,35.568318
26.820347,308.866024,35.230685,13.301595,307.167028,35.554128
26.579021,310.747647,35.216532,13.059529,309.257747,35.539193
26.396185,312.636036,35.200807,12.871585,311.353609,35.524750
26.234434,314.526379,35.186397,12.687094,313.449262,35.510139
26.113421,316.419962,35.172374,12.574055,315.549909,35.492948
26.043573,318.315979,35.151864,12.456523,317.649577,35.474564
25.963916,320.210689,35.131393,12.402051,319.752104,35.455173
25.961234,322.106407,35.110887,12.368538,321.855541,35.435922
25.948245,323.998959,35.085586,12.356916,323.960844,35.415483
25.960884,325.889878,35.063846,12.361333,326.067637,35.393696
26.023871,327.777204,35.044923,12.424862,328.176078,35.371188
26.100302,329.661053,35.025046,12.501917,330.286241,35.349200
26.204319,331.541756,35.003739,12.590355,332.398072,35.326961
