right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
-389.631628,-37.789191,4.268551,-380.546450,-37.223488,4.054497
-389.620621,-39.792091,4.324301,-380.569327,-39.197485,4.115973
-389.609418,-41.797034,4.380212,-380.595959,-41.178056,4.177030
-389.594050,-43.803577,4.436216,-380.619259,-43.164434,4.237717
-389.575970,-45.811587,4.492331,-380.633729,-45.155793,4.298113
-389.559420,-47.821095,4.548606,-380.645988,-47.152164,4.358532
-389.547827,-49.832038,4.605063,-380.663413,-49.153667,4.419248
-389.541853,-51.844123,4.661676,-380.692245,-51.160339,4.480436
-389.538871,-53.856761,4.718346,-380.728003,-53.171375,4.541999
-389.536555,-55.869374,4.774988,-380.762836,-55.185675,4.603737
-389.532481,-57.881377,4.831519,-380.788832,-57.202131,4.665432
-389.529358,-59.892589,4.887963,-380.809130,-59.220532,4.727055
-389.529796,-61.902859,4.944322,-380.830559,-61.240956,4.788644
-389.533682,-63.911842,5.000575,-380.860309,-63.263512,4.850213
-389.541027,-65.919249,5.056703,-380.897396,-65.287678,4.911636
-389.551605,-67.924810,5.112734,-380.937798,-67.312748,4.972731
-389.563937,-69.928238,5.168722,-380.975130,-69.337881,5.033285
-389.578160,-71.929429,5.224791,-381.010723,-71.362852,5.093213
-389.594134,-73.928314,5.281083,-381.048188,-73.387605,5.152499
-389.610261,-75.924782,5.337700,-381.090677,-75.412069,5.211179
-389.626785,-77.918933,5.394712,-381.140325,-77.436090,5.269399
-389.644304,-79.910901,5.452137,-381.190681,-79.459076,5.327301
-389.663061,-81.900828,5.509961,-381.234365,-81.480525,5.385077
-389.682756,-83.888858,5.568147,-381.270992,-83.500397,5.443061
-389.703723,-85.875181,5.626686,-381.308803,-85.519069,5.501674
-389.725497,-87.859963,5.685592,-381.355282,-87.536787,5.561244
-389.747420,-89.843358,5.744894,-381.413953,-89.553585,5.621949
-389.769903,-91.825565,5.804649,-381.481436,-91.569245,5.683772
-389.792928,-93.806763,5.864917,-381.553829,-93.583604,5.746613
-389.816375,-95.787133,5.925713,-381.627816,-95.596582,5.810380
-389.841690,-97.766866,5.987076,-381.700855,-97.608179,5.874971
-389.869414,-99.746129,6.049006,-381.762445,-99.618314,5.940198
-389.899501,-101.725080,6.111515,-381.811457,-101.627165,6.006001
-389.932011,-103.703830,6.174616,-381.859378,-103.635055,6.072504
-389.964638,-105.682517,6.238324,-381.919995,-105.642119,6.139840
-389.995849,-107.661268,6.302670,-381.997882,-107.648318,6.208043
-390.027471,-109.640228,6.367738,-382.078838,-109.653568,6.276950
-390.060811,-111.619489,6.433620,-382.154010,-111.657963,6.346489
-390.095717,-113.599154,6.500394,-382.217943,-113.661673,6.416660
-390.132687,-115.579275,6.568164,-382.276512,-115.664806,6.487577
-390.169664,-117.559923,6.637032,-382.334869,-117.667412,6.559328
-390.206588,-119.541158,6.707129,-382.395969,-119.669499,6.631961
-390.243225,-121.523015,6.778604,-382.454337,-121.671217,6.705422
-390.280256,-123.505509,6.851593,-382.509598,-123.672644,6.779707
-390.316943,-125.488674,6.926186,-382.562149,-125.673854,6.854823
-390.353411,-127.472532,7.002416,-382.611487,-127.674916,6.930783
-390.388950,-129.457116,7.080264,-382.659002,-129.675861,7.007612
-390.424264,-131.442426,7.159712,-382.705779,-131.676693,7.085319
-390.459934,-133.428463,7.240751,-382.753606,-133.677390,7.163870
-390.495301,-135.415276,7.323335,-382.799401,-135.678077,7.243176
-390.529656,-137.402912,7.407384,-382.841824,-137.678829,7.323147
-390.564673,-139.391339,7.492764,-382.882457,-139.679611,7.403769
-390.600397,-141.380589,7.579264,-382.923588,-141.680342,7.485064
-390.637289,-143.370649,7.666666,-382.965696,-143.680999,7.567040
-390.674179,-145.361596,7.754726,-383.007626,-145.681612,7.649685
-390.711829,-147.353393,7.843273,-383.049740,-147.682165,7.732982
-390.749032,-149.346103,7.932141,-383.090690,-149.682693,7.816873
-390.786676,-151.339674,8.021243,-383.131360,-151.683146,7.901317
-390.824785,-153.334092,8.110516,-383.171944,-153.683498,7.986253
-390.863561,-155.329318,8.199916,-383.214354,-155.683642,8.071672
-390.903384,-157.325308,8.289403,-383.257495,-157.683599,8.157542
-390.944219,-159.322011,8.378952,-383.301811,-159.683337,8.243857
-390.985688,-161.319408,8.468551,-383.346538,-161.682863,8.330589
-391.027927,-163.317440,8.558210,-383.392527,-163.682127,8.417733
-391.071021,-165.316042,8.647958,-383.439212,-165.681142,8.505250
-391.113904,-167.315226,8.737787,-383.486087,-167.679913,8.593118
-391.157027,-169.314886,8.827716,-383.533041,-169.678453,8.681326
-391.199809,-171.315014,8.917737,-383.579625,-171.676765,8.769869
-391.242367,-173.315531,9.007853,-383.625645,-173.674870,8.858738
-391.284348,-175.316412,9.098067,-383.671622,-175.672733,8.947933
-391.325145,-177.317637,9.188382,-383.717722,-177.670349,9.037430
-391.365449,-179.319113,9.278813,-383.764035,-179.667729,9.127224
-391.405537,-181.320795,9.369366,-383.811499,-181.664826,9.217322
-391.446088,-183.322599,9.460047,-383.859723,-183.661675,9.307712
-391.487489,-185.324494,9.550862,-383.909349,-185.658251,9.398395
-391.529143,-187.326453,9.641786,-383.959811,-187.654602,9.489353
-391.570983,-189.328454,9.732831,-384.010858,-189.650751,9.580554
-391.612967,-191.330485,9.823987,-384.061452,-191.646750,9.671971
-391.654349,-193.332555,9.915238,-384.112018,-193.642590,9.763598
-391.695710,-195.334608,10.006589,-384.162688,-195.638290,9.855432
-391.736622,-197.336647,10.098022,-384.212369,-197.633901,9.947449
-391.777805,-199.338631,10.189561,-384.262621,-199.629372,10.039663
-391.818707,-201.340573,10.281188,-384.313424,-201.624720,10.132065
-391.859905,-203.342436,10.372917,-384.364101,-203.619981,10.224631
-391.901465,-205.344207,10.464751,-384.416074,-205.615120,10.317379
-391.943549,-207.345880,10.556687,-384.469632,-207.610139,10.410313
-391.986580,-209.347433,10.648732,-384.524140,-209.605076,10.503408
-392.030265,-211.348880,10.740880,-384.579766,-211.599932,10.596657
-392.074429,-213.350211,10.833125,-384.635331,-213.594773,10.690031
-392.117839,-215.351482,10.925441,-384.690874,-215.589592,10.783520
-392.161383,-217.352655,11.017845,-384.745756,-217.584425,10.877105
-392.204747,-219.353731,11.110331,-384.800701,-219.579260,10.970787
-392.247450,-221.354734,11.202888,-384.854883,-221.574123,11.064548
-392.291012,-223.355618,11.295538,-384.908052,-223.569027,11.158379
-392.335480,-225.356385,11.388279,-384.960626,-225.563960,11.252284
-392.380878,-227.357032,11.481115,-385.012076,-227.558952,11.346240
-392.427638,-229.357548,11.574051,-385.063645,-229.553966,11.440264
-392.476310,-231.357926,11.667097,-385.115549,-231.549001,11.534350
-392.526232,-233.358189,11.760238,-385.168833,-233.544035,11.628514
-392.577301,-235.358348,11.853469,-385.222373,-235.539096,11.722724
-392.629634,-237.358388,11.946787,-385.275903,-237.534204,11.816975
-392.682041,-239.358352,12.040177,-385.328403,-239.529378,11.911238
-392.734552,-241.358232,12.133638,-385.380117,-241.524614,12.005518
-392.787177,-243.358037,12.227177,-385.430939,-243.519909,12.099814
-392.839527,-245.357761,12.320802,-385.479626,-245.515298,12.194103
-392.893073,-247.357386,12.414544,-385.529017,-247.510707,12.288450
-392.947170,-249.356926,12.508395,-385.578111,-249.506157,12.382860
-393.002263,-251.356360,12.602383,-385.623287,-251.501729,12.477288
-393.058593,-253.355692,12.696528,-385.666446,-253.497371,12.571788
-393.116363,-255.354923,12.790848,-385.709635,-255.493037,12.666426
-393.175501,-257.354049,12.885372,-385.754020,-257.488709,12.761228
-393.234958,-259.353093,12.980089,-385.798182,-259.484408,12.856207
-393.294874,-261.352046,13.075021,-385.841755,-261.480147,12.951371
-393.353644,-263.350935,13.170148,-385.884654,-263.475920,13.046744
-393.411679,-265.349763,13.265486,-385.926192,-265.471732,13.142332
-393.468722,-267.348522,13.361028,-385.967468,-267.467568,13.238166
-393.525197,-269.347214,13.456789,-386.008106,-269.463430,13.334247
-393.577762,-271.345888,13.552716,-386.047867,-271.459319,13.430557
-393.626069,-273.344546,13.648807,-386.086709,-273.455238,13.527088
-393.669573,-275.343186,13.745048,-386.124410,-275.451194,13.623819
