,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
95,284.727845,32.889129,5.356012,0.095695,0.675732,17.475136,1.383962,11.997627,5.297810
96,287.721284,32.946027,5.551339,0.057036,0.783646,18.410654,0.906486,7.825597,5.375785
97,290.712064,33.009406,5.649887,0.020437,0.853819,19.016447,1.273191,3.623393,5.453197
98,293.701558,33.079041,5.656588,-0.015083,0.952010,19.295890,0.217608,-4.324210,5.530319
99,296.690966,33.153063,5.572645,-0.050873,0.968782,18.962604,0.713574,-5.248475,5.607393
100,299.681627,33.230066,5.394996,-0.087957,1.023930,18.556978,5.737919,0.759897,5.684678
101,302.675343,33.327067,5.118636,-0.126009,1.470240,18.616084,7.200819,0.234153,5.762460
102,305.674028,33.464859,4.738880,-0.164353,2.036181,18.634487,7.217668,-1.716216,5.841054
103,308.676427,33.650141,4.250305,-0.202919,2.611636,18.497656,7.979638,-0.962864,5.920783
104,311.677367,33.888322,3.645742,-0.242046,3.259116,18.419527,8.544327,0.500270,6.001925
105,314.671283,34.187801,2.915203,-0.281605,3.967307,18.460992,7.701498,0.461242,6.084809
106,317.655924,34.553957,2.048688,-0.317494,4.623789,18.500309,5.636104,-0.778894,6.170050
107,320.638872,34.982493,1.056514,-0.340188,5.119568,18.431793,5.516546,1.435262,6.258015
108,323.629199,35.463815,-0.004984,-0.341347,5.614308,18.560512,11.526799,-0.839004,6.347697
109,326.627212,36.010808,-1.046048,-0.320552,6.643086,18.485630,9.150375,-0.350865,6.436948
110,329.628111,36.623403,-1.990485,-0.284861,7.439189,18.455104,6.651825,0.731038,6.523951
111,332.628992,37.273748,-2.803801,-0.243534,7.999593,18.516692,0.182268,-4.404258,6.608199
112,335.629502,37.928882,-3.484260,-0.202904,8.014506,18.156337,-6.883256,-9.183607,6.690018
113,338.629551,38.546588,-4.042081,-0.165239,7.465163,17.423405,-14.196314,-13.179075,6.769827
114,341.629049,39.086754,-4.489070,-0.130987,6.355465,16.393223,-12.545908,-16.365121,6.847995
115,344.627902,39.538337,-4.836986,-0.100280,5.390817,15.134918,-3.589598,-18.736399,6.924885
116,347.626018,39.937131,-5.097330,-0.073180,5.118387,13.712932,-3.937417,-20.325871,7.000779
