y,x
-30434.547249,3935.656126
-30533.89346,3947.072175
-30633.23967,3958.488224
-30732.585881,3969.904272
-30831.932092,3981.320321
-30931.278302,3992.73637
-31030.624513,4004.152419
-31129.970723,4015.568468
-31229.316934,4026.984517
-31328.663145,4038.400566
-31428.009355,4049.816615
-31527.355566,4061.232664
-31626.701777,4072.648713
-31726.047987,4084.064762
-31825.394198,4095.480811
-31924.740408,4106.89686
-32024.086619,4118.312909
-32123.43283,4129.728958
-32222.77904,4141.145006
-32322.125251,4152.561055
-32421.471462,4163.977104
-32520.817672,4175.393153
-32620.163883,4186.809202
-32719.510094,4198.225251
-32818.856304,4209.6413
-32918.202515,4221.057349
-33017.548725,4232.473398
-33116.894936,4243.889447
-33216.241147,4255.305496
-33315.587357,4266.721545
-33414.933568,4278.137594
-33514.279779,4289.553643
-33613.625989,4300.969691
-33712.9722,4312.38574
-33812.31841,4323.801789
-33911.664621,4335.217838
-34011.010832,4346.633887
-34110.357042,4358.049936
-34209.703253,4369.465985
-34309.049464,4380.882034
-34408.395674,4392.298083
-34507.741885,4403.714132
-34607.088096,4415.130181
-34706.434306,4426.54623
-34805.780517,4437.962279
-34905.126727,4449.378328
-35004.472938,4460.794377
-35103.819149,4472.210425
-35203.165359,4483.626474
-35302.226869,4497.268052
-35401.288379,4510.90963
-35500.349888,4524.551207
-35599.411398,4538.192785
-35698.472907,4551.834363
-35797.534417,4565.47594
-35896.595927,4579.117518
-35995.657436,4592.759096
-36094.718946,4606.400673
-36193.780456,4620.042251
-36292.841965,4633.683829
-36391.903475,4647.325406
-36490.964984,4660.966984
-36590.026494,4674.608562
-36689.088004,4688.250139
-36788.149513,4701.891717
-36887.211023,4715.533295
-36986.272533,4729.174872
-37085.334042,4742.81645
-37184.395552,4756.458028
-37283.457061,4770.099605
-37382.518571,4783.741183
-37481.580081,4797.382761
-37580.64159,4811.024338
-37679.7031,4824.665916
-37778.764609,4838.307494
-37877.826119,4851.949071
-37976.887629,4865.590649
-38075.949138,4879.232227
-38175.010648,4892.873804
-38274.072158,4906.515382
-38373.133667,4920.15696
-38472.195177,4933.798537
-38571.256686,4947.440115
-38670.318196,4961.081693
-38769.379706,4974.72327
-38868.441215,4988.364848
-38967.502725,5002.006426
-39066.564235,5015.648003
-39165.625744,5029.289581
-39264.687254,5042.931159
-39363.748763,5056.572736
-39462.810273,5070.214314
-39561.871783,5083.855892
-39660.933292,5097.497469
-39759.994802,5111.139047
-39859.056312,5124.780625
-39958.117821,5138.422202
