s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
3792.879942,41.649171,-2088.985157,82.722443,0.110510,0.170306,-0.102156,0.032623,0.000323,0.001023,-8.707539,1.683760,-0.004506,-0.002957,0.032017
3794.674900,43.403903,-2088.764539,82.415656,0.169068,0.170887,-0.100320,0.032388,-0.000191,0.001072,-8.721490,1.810019,-0.004435,-0.003387,0.031737
3796.475101,45.147649,-2088.440800,82.107002,0.227372,0.170543,-0.098389,0.032031,-0.000794,0.001061,-8.676413,1.908442,-0.004375,-0.003891,0.031336
3798.282195,46.876314,-2088.014507,81.797843,0.285256,0.169107,-0.096472,0.031451,-0.001428,0.001038,-8.582153,1.948620,-0.004256,-0.004408,0.030721
3800.097676,48.585842,-2087.486632,81.489894,0.342355,0.166515,-0.094588,0.030591,-0.001999,0.001052,-8.452592,1.927264,-0.004018,-0.004839,0.029844
3801.922901,50.272397,-2086.858898,81.185049,0.398190,0.162867,-0.092668,0.029473,-0.002434,0.001132,-8.299192,1.919273,-0.003647,-0.005115,0.028733
3803.759100,51.932524,-2086.133897,80.885087,0.452308,0.158398,-0.090589,0.028134,-0.002698,0.001272,-8.161409,1.955056,-0.003166,-0.005201,0.027423
3805.607387,53.563274,-2085.315004,80.591432,0.504307,0.153410,-0.088238,0.026650,-0.002779,0.001459,-8.008133,2.034556,-0.002613,-0.005089,0.025990
3807.468750,55.162283,-2084.406266,80.305013,0.553913,0.148238,-0.085521,0.025172,-0.002700,0.001674,-7.842223,2.203897,-0.002043,-0.004817,0.024574
3809.344021,56.727720,-2083.412128,80.026194,0.601117,0.143174,-0.082381,0.023756,-0.002515,0.001899,-7.641377,2.448967,-0.001491,-0.004442,0.023226
3811.233788,58.258005,-2082.337040,79.754840,0.646011,0.138421,-0.078792,0.022398,-0.002263,0.002126,-7.413181,2.733896,-0.000965,-0.004002,0.021937
3813.138349,59.751753,-2081.185441,79.490477,0.688670,0.134111,-0.074744,0.021031,-0.001934,0.002371,-7.146833,2.970769,-0.000441,-0.003485,0.020640
3815.057673,61.207755,-2079.961813,79.232416,0.729035,0.130399,-0.070193,0.019357,-0.001544,0.002594,-6.823085,3.201860,0.000077,-0.002887,0.019037
3816.991445,62.625291,-2078.670999,78.979695,0.766466,0.127413,-0.065177,0.017286,-0.001125,0.002759,-6.461310,3.439217,0.000562,-0.002239,0.017036
3818.939251,64.005160,-2077.318922,78.731104,0.800137,0.125222,-0.059803,0.015157,-0.000696,0.002869,-6.058393,3.723909,0.000976,-0.001593,0.014970
3820.900666,65.349847,-2075.912324,78.485243,0.829867,0.123857,-0.054176,0.013492,-0.000283,0.002955,-5.605492,4.034384,0.001289,-0.001008,0.013353
3822.875144,66.662332,-2074.457644,78.240596,0.856506,0.123298,-0.048341,0.012391,0.000071,0.003027,-5.143649,4.351553,0.001503,-0.000524,0.012286
3824.861763,67.944426,-2072.960010,77.995681,0.881122,0.123438,-0.042328,0.011751,0.000344,0.003093,-4.721031,4.643781,0.001646,-0.000150,0.011666
3826.859160,69.196572,-2071.423455,77.749263,0.904594,0.124125,-0.036150,0.011457,0.000519,0.003160,-4.330651,4.907986,0.001742,0.000108,0.011380
3828.865554,70.417957,-2069.851217,77.500452,0.927581,0.125167,-0.029809,0.011211,0.000581,0.003196,-3.948830,5.154303,0.001796,0.000249,0.011136
3830.878878,71.606954,-2068.246095,77.248777,0.950153,0.126337,-0.023375,0.010889,0.000532,0.003185,-3.591047,5.395198,0.001813,0.000279,0.010812
3832.897049,72.762247,-2066.611004,76.994233,0.972130,0.127410,-0.016946,0.010455,0.000380,0.003113,-3.239658,5.606168,0.001785,0.000205,0.010376
3834.918130,73.883093,-2064.948949,76.737247,0.993261,0.128179,-0.010654,0.009894,0.000155,0.002968,-2.936493,5.781997,0.001704,0.000050,0.009814
3836.940447,74.969557,-2063.262983,76.478633,1.013270,0.128492,-0.004651,0.009234,-0.000110,0.002751,-2.686495,5.932219,0.001568,-0.000153,0.009157
3838.962634,76.022498,-2061.556118,76.219471,1.031943,0.128269,0.000912,0.008504,-0.000386,0.002473,-2.440336,6.076807,0.001385,-0.000379,0.008434
3840.983647,77.043434,-2059.831196,75.960959,1.049129,0.127488,0.005910,0.007736,-0.000632,0.002147,-2.228058,6.188775,0.001163,-0.000586,0.007676
3843.002740,78.034396,-2058.090835,75.704294,1.064748,0.126213,0.010245,0.006956,-0.000820,0.001794,-2.070268,6.269113,0.000919,-0.000749,0.006909
3845.019428,78.997749,-2056.337388,75.450514,1.078777,0.124559,0.013863,0.006189,-0.000941,0.001442,-1.920049,6.350942,0.000674,-0.000856,0.006154
3847.033451,79.936051,-2054.572929,75.200388,1.091242,0.122664,0.016768,0.005454,-0.000986,0.001108,-1.777482,6.422763,0.000440,-0.000895,0.005429
3849.044732,80.851924,-2052.799256,74.954392,1.102212,0.120681,0.018996,0.004764,-0.000957,0.000810,-1.684290,6.464564,0.000236,-0.000867,0.004746
3851.053342,81.747949,-2051.017901,74.712675,1.111780,0.118758,0.020622,0.004131,-0.000881,0.000563,-1.617254,6.501400,0.000073,-0.000797,0.004119
3853.059457,82.626594,-2049.230157,74.475083,1.120066,0.116989,0.021751,0.003558,-0.000791,0.000366,-1.549375,6.542232,-0.000050,-0.000714,0.003550
3855.063335,83.490153,-2047.437080,74.241268,1.127196,0.115404,0.022484,0.003052,-0.000706,0.000201,-1.498316,6.568847,-0.000150,-0.000637,0.003046
3857.065294,84.340732,-2045.639513,74.010820,1.133305,0.113991,0.022887,0.002613,-0.000626,0.000052,-1.471079,6.572164,-0.000245,-0.000566,0.002609
3859.065675,85.180211,-2043.838109,73.783351,1.138531,0.112739,0.022990,0.002243,-0.000540,-0.000090,-1.464205,6.558514,-0.000342,-0.000489,0.002241
3861.064830,86.010237,-2042.033360,73.558500,1.143016,0.111659,0.022810,0.001938,-0.000451,-0.000217,-1.472756,6.530478,-0.000433,-0.000407,0.001935
3863.063107,86.832201,-2040.225619,73.335885,1.146888,0.110757,0.022377,0.001691,-0.000362,-0.000319,-1.493931,6.496169,-0.000506,-0.000325,0.001688
3865.060832,87.647264,-2038.415138,73.115115,1.150266,0.110033,0.021739,0.001495,-0.000288,-0.000391,-1.503674,6.473438,-0.000555,-0.000255,0.001492
3867.058311,88.456366,-2036.602080,72.895804,1.153253,0.109458,0.020959,0.001343,-0.000233,-0.000435,-1.494437,6.464563,-0.000581,-0.000205,0.001339
3869.055811,89.260264,-2034.786549,72.677627,1.155935,0.108994,0.020090,0.001226,-0.000199,-0.000457,-1.489278,6.450586,-0.000590,-0.000175,0.001222
3871.053560,90.059549,-2032.968603,72.460341,1.158384,0.108596,0.019177,0.001138,-0.000179,-0.000467,-1.493121,6.428686,-0.000590,-0.000157,0.001135
3873.051751,90.854681,-2031.148261,72.243794,1.160659,0.108238,0.018245,0.001073,-0.000165,-0.000468,-1.501664,6.402850,-0.000584,-0.000146,0.001069
3875.050537,91.646003,-2029.325533,72.027891,1.162803,0.107908,0.017309,0.001024,-0.000153,-0.000462,-1.515308,6.373500,-0.000572,-0.000135,0.001020
3877.050027,92.433771,-2027.500425,71.812565,1.164850,0.107602,0.016385,0.000988,-0.000141,-0.000449,-1.528980,6.344995,-0.000555,-0.000125,0.000985
3879.050299,93.218170,-2025.672950,71.597763,1.166827,0.107320,0.015488,0.000962,-0.000133,-0.000429,-1.534113,6.323070,-0.000532,-0.000119,0.000958
3881.051390,93.999327,-2023.843135,71.383432,1.168751,0.107054,0.014629,0.000943,-0.000131,-0.000409,-1.532934,6.305962,-0.000510,-0.000117,0.000940
3883.053306,94.777322,-2022.011022,71.169543,1.170640,0.106791,0.013809,0.000930,-0.000128,-0.000396,-1.539639,6.282232,-0.000495,-0.000115,0.000927
3885.056034,95.552207,-2020.176652,70.956088,1.172503,0.106535,0.013016,0.000921,-0.000120,-0.000389,-1.555289,6.254803,-0.000487,-0.000109,0.000917
3887.059526,96.323998,-2018.340096,70.743061,1.174347,0.106294,0.012237,0.000915,-0.000107,-0.000387,-1.569967,6.223737,-0.000484,-0.000096,0.000911
3889.063727,97.092698,-2016.501424,70.530439,1.176182,0.106079,0.011462,0.000912,-0.000091,-0.000385,-1.612500,6.190598,-0.000482,-0.000081,0.000907
3891.068551,97.858284,-2014.660733,70.318178,1.178009,0.105897,0.010690,0.000909,-0.000077,-0.000382,-1.631751,6.165325,-0.000478,-0.000068,0.000905
3893.073915,98.620725,-2012.818115,70.106223,1.179832,0.105742,0.009924,0.000907,-0.000061,-0.000378,-1.629019,6.147910,-0.000474,-0.000052,0.000903
3895.079717,99.379987,-2010.973678,69.894529,1.181652,0.105620,0.009166,0.000905,-0.000041,-0.000372,-1.639503,6.140635,-0.000468,-0.000033,0.000900
3897.085853,100.136027,-2009.127531,69.683043,1.183468,0.105538,0.008419,0.000904,-0.000019,-0.000362,-1.647755,6.131348,-0.000457,-0.000011,0.000899
3899.092212,100.888808,-2007.279794,69.471696,1.185281,0.105501,0.007693,0.000902,0.000006,-0.000345,-1.655362,6.127567,-0.000440,0.000013,0.000897
3901.098686,101.638284,-2005.430583,69.260411,1.187092,0.105512,0.007000,0.000901,0.000029,-0.000321,-1.663037,6.123321,-0.000416,0.000035,0.000896
3903.105166,102.384412,-2003.580015,69.049101,1.188900,0.105571,0.006356,0.000900,0.000050,-0.000291,-1.670292,6.123218,-0.000386,0.000056,0.000895
3905.111542,103.127151,-2001.728209,68.837685,1.190707,0.105671,0.005772,0.000900,0.000068,-0.000260,-1.659414,6.144139,-0.000355,0.000073,0.000894
3907.117710,103.866460,-1999.875275,68.626092,1.192512,0.105808,0.005249,0.000902,0.000083,-0.000231,-1.630176,6.185879,-0.000326,0.000088,0.000897
3909.123573,104.602299,-1998.021319,68.414257,1.194322,0.105974,0.004787,0.000906,0.000097,-0.000207,-1.594667,6.238736,-0.000303,0.000101,0.000900
3911.129035,105.334618,-1996.166436,68.202132,1.196139,0.106168,0.004372,0.000913,0.000111,-0.000189,-1.567945,6.283579,-0.000286,0.000115,0.000907
3913.134018,106.063373,-1994.310706,67.989672,1.197969,0.106390,0.003993,0.000921,0.000130,-0.000178,-1.544140,6.326601,-0.000276,0.000134,0.000915
3915.138448,106.788506,-1992.454199,67.776826,1.199815,0.106651,0.003636,0.000932,0.000150,-0.000168,-1.525572,6.365354,-0.000267,0.000153,0.000926
3917.142264,107.509961,-1990.596974,67.563526,1.201682,0.106951,0.003300,0.000944,0.000170,-0.000156,-1.510334,6.400945,-0.000257,0.000173,0.000938
3919.145419,108.227676,-1988.739074,67.349698,1.203574,0.107292,0.002988,0.000960,0.000188,-0.000141,-1.494879,6.437268,-0.000244,0.000190,0.000954
