Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME,s_dot,n_dot,s_ddot,n_ddot
74.9315785,42.2610233,-112.1741663,0.1405031,1.8e-06,7.1019213,-7.1267617,74.9668357,-1.9006205,42.5271881,-114.0560576,0.1098942,-0.030609,-4.5e-06,59.3595821,-0.0158560199418899,2.1588344,59.3595821,-0.0158560199418899,2.1588344,1.29431880825929,59.33157397158289,-1.816653743711932,2.1556037971390722,-0.08825448272481873
77.9288741,45.2287805,-111.7544132,0.1405095,2.4e-06,7.1134827,-7.1263446,77.9655481,-1.9924209,45.5078136,-113.7271984,0.1098767,-0.0306328,-7.7e-06,59.4685416,-0.0272311072882382,2.1510292,59.4685416,-0.0272311072882382,2.1510292,1.34479023574863,59.44035784808288,-1.8214030520807027,2.1472475670997184,-0.10157968975958345
80.9261716,48.1965365,-111.3346383,0.1405176,3e-06,7.1238833,-7.1258581,80.9642695,-2.0843099,48.4884552,-113.3984046,0.1098478,-0.0306698,-1.22e-05,59.5769092,-0.0433027789398655,2.1431431,59.5769092,-0.0433027789398655,2.1431431,1.39516967193512,59.54851893201518,-1.8269254461814546,2.1386623918713474,-0.1196400253810452
83.9234709,51.1642906,-110.9148366,0.1405275,3.6e-06,7.1317688,-7.1253387,83.9630013,-2.1763327,51.4691189,-113.0697156,0.1098034,-0.0307241,-1.82e-05,59.6846843,-0.0648331600278301,2.1351739,59.6846843,-0.0648331600278301,2.1351739,1.44545797910628,59.65604883755457,-1.8334697202974097,2.1298206789793084,-0.14320547747207868
86.920772,54.1320419,-110.4950025,0.1405392,4.2e-06,7.1369328,-7.1248706,86.9617457,-2.268548,54.4498126,-112.7411841,0.1097385,-0.0308007,-2.6e-05,59.7918658,-0.0929517476119754,2.127121,59.7918658,-0.0929517476119754,2.127121,1.495656020167,59.76293685982797,-1.8413401473332531,2.120683849731604,-0.17341501651902086
89.9180747,57.0997896,-110.0751308,0.1405527,4.8e-06,7.1396908,-7.1242187,89.9605053,-2.3610305,57.4305465,-112.4128786,0.1096477,-0.030905,-3.56e-05,59.8984529,-0.127726557889361,2.1189886,59.8984529,-0.127726557889361,2.1189886,1.54576466092355,59.869171606619275,-1.8508670209893208,2.1112490433559237,-0.21034740417388886
92.9153791,60.0675329,-109.6552161,0.1405679,5.4e-06,7.1408875,-7.1232724,92.9592832,-2.4538724,60.4113332,-112.0848851,0.1095248,-0.0310432,-4.74e-05,60.004445,-0.17066528409653,2.1107697,60.004445,-0.17066528409653,2.1107697,1.59578476860684,59.97474005208968,-1.8624308220843597,2.101455375456489,-0.25552147195633534
95.9126849,63.035271,-109.2352533,0.140585,6e-06,7.1412922,-7.1219964,95.9580832,-2.5471846,63.3921878,-111.7573079,0.1093636,-0.0312214,-6.11e-05,60.1098409,-0.220766090651724,2.1024635,60.1098409,-0.220766090651724,2.1024635,1.64571721251028,60.079628266652406,-1.8764085057307394,2.0913230204973323,-0.307947392146421
98.9099923,66.003003,-108.8152368,0.1406039,6.6e-06,7.141635,-7.1203984,98.9569096,-2.6410965,66.3731283,-111.4302699,0.1091583,-0.0314456,-7.67e-05,60.2146396,-0.27809907645951,2.0940692,60.2146396,-0.27809907645951,2.0940692,1.69556287058976,60.183822081280894,-1.8931734318989908,2.080836142909778,-0.36770622956864873
101.907301,68.9707281,-108.3951616,0.1406246,7.2e-06,7.1426976,-7.1184782,101.9557675,-2.7357544,69.3541748,-111.1039105,0.1089038,-0.0317208,-9.36e-05,60.3188399,-0.340550725028139,2.085591,60.3188399,-0.340550725028139,2.085591,1.74532262050426,60.28730825497976,-1.9130409991407489,2.07005013336248,-0.43269427187396253
