step,s,n,V,chi,ax,ay,mode,gap,opp_V,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
17,166.25052938206758,-0.5061734293382916,50.655564138492565,-0.014378738514283642,-11.377888678994832,1.0422598281344069,SHADOW,51.83676042903892,40.456112165814474,44.50172338239592,1.0,True,False,False,32.62782096862793
18,172.48101712818203,-0.5833590696589702,49.08039155933672,-0.009966157251317062,-13.358848624703219,2.4147971157326635,SHADOW,50.38177811360387,38.693452360269205,42.56279759629613,1.0,True,False,False,37.186384201049805
19,178.50165703902923,-0.6213604281074484,47.3071087159072,-0.0024736919218960284,-14.616015015844336,3.336748667154513,SHADOW,48.89021381736367,37.02635015744042,40.72898517318446,1.0,True,False,False,37.918806076049805
20,184.29490388722726,-0.6078604567639092,45.446213851053386,0.007176284610164068,-14.871328642164661,3.833666118364143,SHADOW,47.40558991345506,35.48640785455755,39.03504864001331,1.0,True,False,False,31.090497970581055
21,189.8537224698768,-0.5368283963315983,43.60397847877542,0.018083630607984125,-14.40864735178878,3.95608137857734,SHADOW,45.96311328663373,34.11672869182885,37.528401561011734,1.0,True,False,False,28.202295303344727
22,195.18347463062824,-0.40900115863134023,41.81461501159893,0.029251717591169676,-14.036293623042363,3.693648130365131,SHADOW,44.589739169482414,32.928944945405476,36.221839439946024,1.0,True,False,False,28.949260711669922
23,200.290918426294,-0.23090509548011412,40.08971808064714,0.03958910262356222,-13.415406521686505,3.095099881530702,SHADOW,43.29733284802137,31.890735687144794,35.079809255859274,1.0,True,False,False,28.8236141204834
24,205.18698589238608,-0.013829026201964995,38.471267426304166,0.0480398827375206,-12.403804360190813,2.2367712302136638,SHADOW,42.09794518995207,30.951911827704524,34.04710301047498,1.0,True,False,False,26.7636775970459
25,209.8878694134721,0.22815293179471746,36.985189982745325,0.05391278768209803,-11.326478928571678,1.3180470458477505,SHADOW,40.97881287450883,30.137904706945427,33.15169517763997,1.0,True,False,False,26.781320571899414
26,214.4125228323843,0.48070207306988066,35.659150727711065,0.056855821051408593,-9.910306722743071,0.3906140721257437,SHADOW,39.93729962166853,29.466026565456755,32.41262922200243,1.0,True,False,False,24.014711380004883
27,218.78232055638892,0.730124481161431,34.48549989073293,0.05662017006368621,-8.851577997087317,-0.5282153317239092,SHADOW,38.97143328070575,28.927619760310158,31.820381736341176,1.0,True,False,False,26.05891227722168
28,223.0161581903912,0.9634041008296583,33.46175264731584,0.053114805418208774,-7.553004446868451,-1.387776835591088,SHADOW,38.066108610522804,28.510584327968694,31.361642760765566,1.0,True,False,False,24.575233459472656
29,227.1337616745053,1.1692549300563344,32.585235858486875,0.04669471338898289,-6.469915232919879,-2.024109100676495,SHADOW,37.20709585255662,28.207011329209525,31.02771246213048,1.0,True,False,False,25.933265686035156
