,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
197,393.752310,39.028857,-4.839161,0.032286,2.673779,-1.792694,-5.168193,-5.332579,8.885983
198,395.751053,39.158504,-4.775586,0.030982,2.410190,-2.064666,-7.515489,-4.716697,8.936985
199,397.749795,39.271743,-4.716736,0.027663,2.026554,-2.305435,-9.506239,-4.104974,8.988031
200,399.748538,39.362478,-4.664690,0.024695,1.543317,-2.514106,6.368850,-3.475326,9.038865
201,401.747281,39.448932,-4.618149,0.021562,1.866294,-2.690347,14.416728,-2.835459,9.089577
202,403.746023,39.562188,-4.579449,0.016868,2.597809,-2.834220,11.304973,-2.201494,9.140318
203,405.744766,39.708168,-4.550891,0.011600,3.170048,-2.945656,7.852367,-1.573505,9.190936
204,407.743509,39.877410,-4.532112,0.007601,3.564703,-3.024740,4.424280,-0.942311,9.241196
205,409.742251,40.060648,-4.519523,0.005112,3.785301,-3.071724,1.070519,-0.301930,9.291057
206,411.740994,40.249845,-4.511771,0.002572,3.838435,-3.086710,-1.983361,0.344341,9.340690
207,413.739737,40.437173,-4.509446,-0.000233,3.740388,-3.069687,7.837388,0.987301,9.390125
208,415.738479,40.631796,-4.514280,-0.005362,4.128097,-3.020847,5.878711,1.626423,9.439594
209,417.737222,40.842940,-4.532069,-0.012059,4.418562,-2.940486,6.608513,2.286474,9.489003
210,419.735965,41.066479,-4.560425,-0.015491,4.741119,-2.828884,4.907229,2.939394,9.537813
211,421.734707,41.302073,-4.593443,-0.018159,4.978999,-2.686396,3.027233,3.594800,9.586288
212,423.733450,41.545281,-4.632411,-0.020117,5.124737,-2.513334,3.687546,4.276859,9.634430
213,425.732193,41.793025,-4.671268,-0.018866,5.300006,-2.310055,2.678435,4.876199,9.681961
214,427.730936,42.049740,-4.711140,-0.022876,5.428191,-2.076690,1.213764,5.487747,9.729818
215,429.729678,42.311850,-4.766115,-0.030666,5.486486,-1.813119,0.893320,6.247216,9.777847
216,431.728421,42.570471,-4.829350,-0.031104,5.528435,-1.519761,-0.217484,6.963538,9.824806
217,433.727164,42.826346,-4.887370,-0.028136,5.518360,-1.197171,-1.384593,7.560478,9.871131
