V,Aw,An,Ae_off,Ae_on
16.4,10.279752,13.31067552,21.2379167721397,21.2379167721397
16.6,10.299128,13.37140888,21.224244148916,21.224244148916
16.8,10.3188026666667,13.43214224,21.2105715256922,21.2105715256922
17,10.339,13.4928756,21.1968989024685,21.1968989024685
17.2,10.3597529507246,13.55360896,21.1832262792448,21.1832262792448
17.4,10.3809308521739,13.61434232,21.169553656021,21.169553656021
17.6,10.4025122782609,13.67507568,21.1558810327973,21.1558810327973
17.8,10.4244758028986,13.73580904,21.1422084095735,21.1422084095735
18,10.4468,13.7965424,21.1285357863498,21.1285357863498
18.2,10.4696655304348,13.85727576,21.114863163126,21.114863163126
18.4,10.4931037217391,13.91800912,21.1011905399023,21.1011905399023
18.6,10.5168691478261,13.97874248,21.0875179166785,21.0875179166785
18.8,10.5407163826087,14.03947584,21.0738452934548,21.0738452934548
19,10.5644,14.1002092,21.0627239252457,21.0627239252457
19.2,10.587769472,14.16094256,21.0553958852072,21.0553958852072
19.4,10.610988416,14.22167592,21.0514888838909,21.0514888838909
19.6,10.634282624,14.28240928,21.0506306472293,21.0506306472293
19.8,10.657877888,14.34314264,21.0524488829573,21.0524488829573
20,10.682,14.403876,21.0565713009479,21.0565713009479
20.2,10.706827712,14.46460936,21.0626256324861,21.0626256324861
20.4,10.732226176,14.52534272,21.0702835479406,21.0702835479406
20.6,10.757950784,14.58607608,21.0791088674291,21.0791088674291
20.8,10.783756928,14.64680944,21.088717201655,21.088717201655
21,10.8094,14.7075428,21.0987362551004,21.0987362551004
21.2,10.8347290074074,14.76827616,21.1087937487449,21.1087937487449
21.4,10.8599070222222,14.82900952,21.1185174002219,21.1185174002219
21.6,10.8851605333333,14.88974288,21.1275349301455,21.1275349301455
21.8,10.9107160296296,14.95047624,21.1354740432975,21.1354740432975
22,10.9368,15.0112096,21.1419624655473,21.1419624655473
22.2,10.9635895703704,15.07194296,21.1466279035655,21.1466279035655
22.4,10.9909482666667,15.13267632,21.1490980792879,21.1490980792879
22.6,11.0186321777778,15.19340968,21.1490007095347,21.1490007095347
22.8,11.0463973925926,15.25414304,21.1459635085439,21.1459635085439
23,11.074,15.3148764,21.1396141971552,21.1396141971552
23.2,11.1012886068966,15.37560976,21.1295804800179,21.1295804800179
23.4,11.1284258206897,15.43634312,21.1154900810213,21.1154900810213
23.6,11.1556387310345,15.49707648,21.0969707173387,21.0969707173387
23.8,11.1831544275862,15.55780984,21.0736500931429,21.0736500931429
24,11.2112,15.6185432,21.0451559456639,21.0451559456639
24.2,11.2397994304783,15.67927656,21.0111159719624,21.0111159719624
24.4,11.2688148431591,15.74000992,20.9709907727817,20.9709907727817
24.6,11.2982305406007,15.80074328,20.9244336304426,20.9244336304426
24.8,11.3280308253615,15.86147664,20.871181770881,20.871181770881
25,11.3582,15.92221,20.8108629072366,20.8108629072366
25.2,11.3889125677419,15.98294336,15.4107328115107,15.4107328115107
25.4,11.4201916387097,16.04367672,15.3999130033071,15.3999130033071
25.6,11.4517944258065,16.10441008,15.3906046915426,15.3906046915426
25.8,11.4834781419355,16.16514344,15.3827017861629,15.3827017861629
26,11.515,16.2258768,15.3761241319086,15.3761241319086
26.2,11.5462079515152,16.28661016,15.370990861791,15.370990861791
26.4,11.5772638545455,16.34734352,15.3671799611845,15.3671799611845
26.6,11.6083957818182,16.40807688,15.3643470718976,15.3643470718976
26.8,11.6398318060606,16.46881024,15.362412037391,15.362412037391
27,11.6718,16.5295436,15.3612947003677,15.3612947003677
27.2,11.7044737939394,16.59027696,15.3611264751135,15.3611264751135
27.4,11.7377130181818,16.65101032,15.3615206268552,15.3615206268552
27.6,11.7712753454545,16.71174368,15.3623852373274,15.3623852373274
27.8,11.8049184484848,16.77247704,15.3636401523654,15.3636401523654
28,11.8384,16.8332104,15.365232960131,15.365232960131
28.2,11.87156768,16.89394376,15.3670111734832,15.3670111734832
28.4,11.90458304,16.95467712,15.3688324517315,15.3688324517315
28.6,11.93767456,17.01541048,15.3706166416638,15.3706166416638
28.8,11.97107072,17.07614384,15.3722835887326,15.3722835887326
29,12.005,17.1368772,15.3736074321091,15.3736074321091
29.2,12.03963488,17.19761056,15.3745424086811,15.3745424086811
29.4,12.07483424,17.25834392,15.3750129006152,15.3750129006152
29.6,12.11035616,17.31907728,15.3749387504076,15.3749387504076
29.8,12.14595872,17.37981064,15.374098137516,15.374098137516
30,12.1814,17.440544,15.3723038371648,15.3723038371648
30.2,12.21668,17.50127736,15.369617651667,15.369617651667
30.4,12.25196,17.56201072,15.3659594268911,15.3659594268911
30.6,12.28724,17.62274408,15.3612490085116,15.3612490085116
30.8,12.32252,17.68347744,15.3549054374884,15.3549054374884
31,12.3578,17.7442108,15.3472196085963,15.3472196085963
31.2,12.3927829052632,17.80494416,15.3381343439995,15.3381343439995
31.4,12.4274687157895,17.86567752,15.3275694872403,15.3275694872403
31.6,12.4623030736842,17.92641088,15.3151359553508,15.3151359553508
31.8,12.4977316210526,17.98714424,15.3006075069767,15.3006075069767
32,12.5342,18.0478776,15.2842522230954,15.2842522230954
32.2,12.5722403994602,18.10861096,15.265989951041,15.265989951041
32.4,12.6115969878543,18.16934432,15.2457405404183,15.2457405404183
32.6,12.6515333765182,18.23007768,15.2225700571482,15.2225700571482
32.8,12.6913131767881,18.29081104,15.1971017822146,15.1971017822146
33,12.7302,18.3515444,15.1692991254972,15.1692991254972
33.2,12.7678983384615,18.41227776,15.1390819338932,15.1390819338932
33.4,12.8049091692308,18.47301112,15.1058959768866,15.1058959768866
33.6,12.8416908307692,18.53374448,15.0694717439034,15.0694717439034
33.8,12.8787016615385,18.59447784,12.128027409283,14.128027409283
34,12.9164,18.6552112,12.117601656086,14.117601656086
34.2,12.954803742339,18.71594456,12.1077659842558,14.1077659842558
34.4,12.993617380863,18.77667792,12.0984554978668,14.0984554978668
