step,s,n,V,chi,ax,ay,mode,gap,opp_V,opp_s,opp_n,shadow_side,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
13,143.83496285890206,-2.2271730911055228,56.17068079939675,-0.041539164649884955,0.09882004614978268,0.30097010057081436,FOLLOW,35.40155309396434,52.220157232123746,172.22366632481695,-3.701003608394242,right,80.0,1.0,True,False,False,20.48325538635254
14,150.84841720173512,-2.5151783239981524,56.1242219043575,-0.040414935106917,-0.8689647913266997,0.7701296030029623,FOLLOW,34.824038709132736,50.707237807681,178.6590015680348,-3.913609226174817,right,80.0,1.0,True,False,False,24.31201934814453
15,157.84729922041706,-2.7910414115802316,55.92995825118906,-0.038320411874391884,-2.2275944740760596,1.1760596123730083,FOLLOW,34.0489286026762,49.07155139568173,184.89734580441132,-4.126922308543411,right,80.0,1.0,True,False,False,22.182226181030273
16,164.81044034629542,-3.0475007604554976,55.54586654697619,-0.03529713126937005,-3.875093608032723,1.5833879846750345,FOLLOW,33.078571088980226,47.340006929121934,190.92587030939728,-4.337570575869745,right,80.0,1.0,True,False,False,22.45497703552246
17,171.71218893291294,-3.277432574752211,54.94252719699478,-0.03135592794958868,-5.707217858915207,1.9531967615046082,FOLLOW,31.924779046764797,45.54066831807378,196.73521939306022,-4.541380766154703,right,80.0,1.0,True,False,False,25.661945343017578
18,178.52417074419066,-3.4746187208834036,54.108121799540214,-0.02665184116817292,-7.555987928706537,2.203162721946572,FOLLOW,30.607208561396988,43.70439611307306,202.31939749430992,-4.733535458044292,right,77.14128975068057,1.0,True,False,False,26.215791702270508
19,185.22041857326397,-3.627506010480983,53.10475691682887,-0.01838435505794897,-8.480018627026338,4.672305836617554,SHADOW,29.15190158360724,41.864202591540575,207.6760723277979,-4.908664156414527,left,80.0,1.0,True,False,False,27.413368225097656
20,191.78538593568942,-3.70554542123483,51.995757128836836,-0.005403901129880224,-9.254040039642637,6.098555758749991,SHADOW,27.585964815197883,40.05436741801143,212.80638338846185,-5.061063240655168,left,59.423514491441466,1.0,True,False,False,26.716947555541992
21,198.2059632852508,-3.6876395530966692,50.785800608918095,0.010594460762711384,-10.083707500765648,6.8902717580913695,SHADOW,25.926658139633275,38.30983139577224,217.7120440753227,-5.184958977539067,left,52.235876492552194,1.0,True,False,False,22.670745849609375
22,204.46494951950254,-3.5640832001328766,49.412513119745945,0.02822416928771886,-11.667285731023695,7.062168606192804,SHADOW,24.200611461313912,36.6678248739636,222.4065747465647,-5.273985313834184,left,45.38842087413546,1.0,True,False,False,28.838157653808594
23,210.5317428172054,-3.3331351912335205,47.73078189872466,0.04747127739941277,-14.743811344700232,7.597016876612446,SHADOW,22.43313111885692,35.16505073416842,226.89808063835946,-5.195932603848821,left,38.95942139098146,1.0,True,False,False,34.291982650756836
24,216.36112709162273,-2.9908142633317296,45.70919023346308,0.06993555560662815,-17.14054812492574,8.717394453471698,SHADOW,20.680632670405743,33.83089180755291,231.21237548761115,-5.101664842959664,left,33.61723455571111,1.0,True,False,False,26.657581329345703
25,221.91160076664616,-2.530982104465123,43.479725858224846,0.09445300548478694,-18.074254235036758,8.312505196663928,SHADOW,18.999556415308376,32.68764140573497,235.3606835069311,-4.974397486585584,left,29.526543065002095,1.0,True,False,True,25.515079498291016
