step,s,n,V,chi,ax,ay,mode,gap,opp_V,opp_s,opp_n,shadow_side,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
12,136.93952735794414,-0.6439422215769113,56.20006984192042,-0.017824522778287395,0.8080834609324814,-0.37998463235366386,SHADOW,44.83818999658061,51.64412370320258,174.76214513924114,-3.7570862206057667,left,80.0,1.0,True,False,False,25.751829147338867
13,143.96873291537375,-0.7719349357839043,56.278540269906735,-0.018448447772519652,0.5481752377433167,-0.10401806895479965,SHADOW,44.184668036365,50.08260439590226,181.12419539430914,-3.9770335361149343,left,80.0,1.0,True,False,False,22.610187530517578
14,151.00563479267768,-0.9021474786090344,56.318972538988874,-0.018437343984624245,0.0349007265883724,0.1986137984254951,SHADOW,43.31481647658586,48.40451023830972,187.2835493919596,-4.194787813882035,left,80.0,1.0,True,False,False,23.77915382385254
15,158.0419635643101,-1.0297215959257267,56.263655926470854,-0.017727317129479496,-0.9422288540576857,0.5304492905766072,SHADOW,42.22297859943498,46.64168116721318,193.22861339211266,-4.407065667519513,left,80.0,1.0,True,False,False,22.84860610961914
16,165.06232031972084,-1.1492485971233388,56.06121269631483,-0.01625492883302649,-2.28703034364389,0.8879984018358205,SHADOW,40.90937549366572,44.82351005207511,198.95133905797582,-4.6097357273921835,left,80.0,1.0,True,False,False,22.700786590576172
17,172.04560779800278,-1.2548057120168365,55.67140752102638,-0.013935493648057427,-3.908871755711604,1.28153526567499,SHADOW,39.384879039311585,42.981623607984055,204.44719935903242,-4.7979999541148475,left,80.0,1.0,True,False,False,22.400617599487305
18,178.96651383336055,-1.3399243203178068,55.06780033968357,-0.010645926108301562,-5.682380340844622,1.7282459525542533,SHADOW,37.669135775691444,41.14942903654427,209.71474357369422,-4.966572152553237,left,80.0,1.0,True,False,False,22.522687911987305
19,185.79743824269613,-1.3973462219002222,54.24015262000621,-0.0061656004621637815,-7.476580911025098,2.2712421838444885,SHADOW,35.79079720186871,39.36008876738021,214.75731103522926,-5.109901359991822,left,76.78366459088829,1.0,True,False,False,22.313594818115234
20,192.51066085320215,-1.4188314997920535,53.19673430200286,-0.00027418279585843686,-9.130802426650638,2.837705988012397,SHADOW,33.782445786551676,37.651449774283385,219.5798840292478,-5.221810148802382,left,67.97394159558999,1.0,True,False,False,26.083946228027344
21,199.081177802046,-1.3943152823290268,51.97468505306529,0.007797076770233277,-10.361194989530983,3.8431799542125358,SHADOW,31.68077161929972,36.06050486021947,224.19143247250187,-5.29549713104392,left,59.63564723243745,1.0,True,False,False,26.70001983642578
22,205.4899409565965,-1.307985447598814,50.63115806162896,0.019262511767936644,-11.113797277165371,5.28260910147047,SHADOW,29.530274483566558,34.61785490641537,228.61145228561256,-5.325330313949777,left,52.035586943601174,1.0,True,False,False,29.026031494140625
23,211.72048731756135,-1.1416184739783586,49.13609558081161,0.03390685184366327,-12.5905350364941,6.10015010788006,SHADOW,27.366717393227532,33.36524999982455,232.85665834982404,-5.303448629853793,left,45.16513003746897,1.0,True,False,False,29.25419807434082
24,217.74833668288892,-0.8875905718266011,47.43022244238671,0.04972685221800692,-14.404230742895155,5.8896715190263365,SHADOW,25.233087627487663,32.2728281478853,236.953574945049,-5.224461825615535,left,39.21747096476656,1.0,True,False,False,26.265382766723633
25,223.5429133887985,-0.5435549254062921,45.462565919262765,0.06956107747215139,-16.63701104310269,8.097972677579808,SHADOW,23.15586870270198,31.300367268757107,240.9042053855909,-4.951096706023052,left,33.95453622894112,1.0,True,False,False,28.755664825439453
