step,s,n,V,chi,ax,ay,mode,gap,opp_V,opp_s,opp_n,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
12,136.74233971274424,-2.6328348021388748,56.11330041902841,-0.03971321663218531,0.8340269041959345,1.7866324067050678,RACELINE,35.8662199393998,53.58268386154232,165.60925171130523,-3.4916837309184614,80.0,1.0,True,False,False,23.931264877319336
13,143.75639125764192,-2.8951460864748952,56.180448113107325,-0.03507886020521548,0.31169079623368756,2.3356694721023232,RACELINE,35.481326612072706,52.220157232123746,172.22366632481695,-3.701003608394242,80.0,1.0,True,False,False,24.82128143310547
14,150.7752791198181,-3.121033990462186,56.16664526591031,-0.029410011511345226,-0.5638087758001424,2.7254341699523383,RACELINE,34.90261031039287,50.707237807681,178.6590015680348,-3.913609226174817,80.0,1.0,True,False,False,22.920608520507812
15,157.78492748404844,-3.3042018980256116,56.010402445382084,-0.02309142209738972,-1.9219821737326146,2.924734150313173,RACELINE,34.12206668459322,49.07155139568173,184.89734580441132,-4.126922308543411,80.0,1.0,True,False,False,23.142099380493164
16,164.7637081317574,-3.4409485127176396,55.659179824129026,-0.016391146631714447,-3.6458476561389075,3.042299235450628,RACELINE,33.140942825348844,47.340006929121934,190.92587030939728,-4.337570575869745,80.0,1.0,True,False,False,23.3304500579834
17,171.6847412646672,-3.531775484281743,55.08546297641876,-0.010439551865163502,-5.462887487629832,2.3402292549482917,RACELINE,31.971511261302823,45.54066831807378,196.73521939306022,-4.541380766154703,80.0,1.0,True,False,False,25.455951690673828
18,178.51917552224424,-3.5877722024118714,54.28080551936491,-0.006593203931327769,-7.321615688905322,1.2269561703832008,RACELINE,30.63465622964273,43.70439611307306,202.31939749430992,-4.733535458044292,80.0,1.0,True,False,False,22.74632453918457
19,185.23761552142324,-3.6260065427762243,53.241548645245295,-0.005305898838329385,-9.195989803250757,0.12684132553569127,RACELINE,29.156896805553657,41.864202591540575,207.6760723277979,-4.908664156414527,80.0,1.0,True,False,False,23.33378791809082
20,191.81104282106,-3.6630814867990478,51.97487053795221,-0.006263974015482707,-10.951456639238062,-0.6999917356985682,RACELINE,27.568767867038616,40.05436741801143,212.80638338846185,-5.061063240655168,80.0,1.0,True,False,False,22.95994758605957
21,198.2125906425679,-3.7106860250616576,50.50195439994402,-0.008658143611748435,-12.496417484050841,-1.1127029167142195,RACELINE,25.901001254262695,38.30983139577224,217.7120440753227,-5.184958977539067,80.0,1.0,True,False,False,27.77242660522461
22,204.41853961890413,-3.7731823969735836,48.85016801018234,-0.011288023804247285,-13.817535792635693,-0.9562894485343617,RACELINE,24.193984103996797,36.6678248739636,222.4065747465647,-5.273985313834184,80.0,1.0,True,False,False,23.139238357543945
23,210.40913406632814,-3.8461318825317,47.053522528795725,-0.012663657115899155,-14.828081388156646,-0.20972719437144383,RACELINE,22.479541019455326,35.16505073416842,226.89808063835946,-5.195932603848821,80.0,1.0,True,False,False,24.760961532592773
24,216.1690659938331,-3.9173975725731776,45.15144106749548,-0.011593759340944955,-15.512094859952178,0.8251640028366392,RACELINE,20.80324142128302,33.83089180755291,231.21237548761115,-5.101664842959664,80.0,1.0,True,False,False,23.39339256286621
25,221.68577329610278,-3.970134493460217,43.19424669841142,-0.006990104023256891,-15.72031172439713,2.168702401352536,RACELINE,19.19161751309801,32.68764140573497,235.3606835069311,-4.974397486585584,80.0,1.0,True,False,False,22.852420806884766
